selection#  	  units 	 distance 	 units
2 	 105.0318 	 pixels	 136.5415 	 microns
3 	 125.6318 	 pixels	 163.3216 	 microns
4 	 150.2286 	 pixels	 195.2973 	 microns
5 	 127.3625 	 pixels	 165.5714 	 microns
6 	 145.2673 	 pixels	 188.8477 	 microns
7 	 177.0543 	 pixels	 230.1708 	 microns
8 	 88.7774 	 pixels	 115.4107 	 microns
9 	 143.8619 	 pixels	 187.0207 	 microns
10 	 173.4216 	 pixels	 225.4484 	 microns
11 	 107.554 	 pixels	 139.8203 	 microns
12 	 124.9835 	 pixels	 162.4787 	 microns
13 	 196.2116 	 pixels	 255.0753 	 microns
14 	 111.9339 	 pixels	 145.5142 	 microns
15 	 177.3323 	 pixels	 230.5323 	 microns
16 	 241.3914 	 pixels	 313.8091 	 microns
17 	 274.9802 	 pixels	 357.4746 	 microns
18 	 193.4372 	 pixels	 251.4686 	 microns
19 	 97.5511 	 pixels	 126.8165 	 microns
20 	 216.2563 	 pixels	 281.1334 	 microns
21 	 136.4886 	 pixels	 177.4354 	 microns
22 	 344.7811 	 pixels	 448.2159 	 microns
23 	 249.3549 	 pixels	 324.1616 	 microns
24 	 313.8494 	 pixels	 408.0046 	 microns
25 	 197.8133 	 pixels	 257.1576 	 microns
26 	 346.9694 	 pixels	 451.0607 	 microns
27 	 239.8937 	 pixels	 311.8622 	 microns
28 	 329.4702 	 pixels	 428.3117 	 microns
29 	 286.462 	 pixels	 372.401 	 microns
30 	 219.2639 	 pixels	 285.0433 	 microns
31 	 373.3671 	 pixels	 485.3777 	 microns
32 	 178.9355 	 pixels	 232.6164 	 microns
33 	 308.8472 	 pixels	 401.5018 	 microns
34 	 277.4716 	 pixels	 360.7134 	 microns
35 	 353.1792 	 pixels	 459.1334 	 microns
36 	 220.976 	 pixels	 287.2691 	 microns
37 	 199.4641 	 pixels	 259.3036 	 microns
38 	 183.7798 	 pixels	 238.914 	 microns
39 	 328.0285 	 pixels	 426.4375 	 microns
40 	 380.4168 	 pixels	 494.5423 	 microns
41 	 365.1765 	 pixels	 474.7299 	 microns
42 	 332.8884 	 pixels	 432.7554 	 microns
43 	 321.2408 	 pixels	 417.6134 	 microns
44 	 376.7766 	 pixels	 489.8101 	 microns
45 	 178.7388 	 pixels	 232.3607 	 microns
46 	 348.0733 	 pixels	 452.4957 	 microns
47 	 231.5858 	 pixels	 301.0619 	 microns
48 	 420.1899 	 pixels	 546.2474 	 microns
49 	 515.6098 	 pixels	 670.2934 	 microns
50 	 303.2573 	 pixels	 394.2349 	 microns
51 	 288.9138 	 pixels	 375.5883 	 microns
52 	 317.1269 	 pixels	 412.2654 	 microns
53 	 378.0468 	 pixels	 491.4613 	 microns
54 	 468.0736 	 pixels	 608.4963 	 microns
55 	 346.2105 	 pixels	 450.0741 	 microns
56 	 295.5831 	 pixels	 384.2585 	 microns
57 	 362.331 	 pixels	 471.0307 	 microns
58 	 272.7314 	 pixels	 354.5512 	 microns
59 	 224.3479 	 pixels	 291.6525 	 microns
60 	 451.9149 	 pixels	 587.49 	 microns
61 	 241.3309 	 pixels	 313.7305 	 microns
62 	 200.5519 	 pixels	 260.7177 	 microns
63 	 178.5961 	 pixels	 232.1751 	 microns
64 	 333.5963 	 pixels	 433.6756 	 microns
65 	 282.9518 	 pixels	 367.8377 	 microns
66 	 360.888 	 pixels	 469.1549 	 microns
67 	 227.8211 	 pixels	 296.1677 	 microns
68 	 216.617 	 pixels	 281.6024 	 microns
69 	 387.292 	 pixels	 503.4801 	 microns
70 	 286.9402 	 pixels	 373.0226 	 microns
71 	 341.1441 	 pixels	 443.4878 	 microns
72 	 155.6576 	 pixels	 202.355 	 microns
73 	 632.3124 	 pixels	 822.0069 	 microns
74 	 211.1935 	 pixels	 274.5518 	 microns
75 	 272.1133 	 pixels	 353.7476 	 microns
76 	 237.1703 	 pixels	 308.3217 	 microns
77 	 171.31 	 pixels	 222.7033 	 microns
78 	 320.4889 	 pixels	 416.636 	 microns
79 	 354.9809 	 pixels	 461.4756 	 microns
80 	 445.0247 	 pixels	 578.5327 	 microns
81 	 98.2734 	 pixels	 127.7556 	 microns
82 	 224.6014 	 pixels	 291.9821 	 microns
83 	 192.3455 	 pixels	 250.0494 	 microns
84 	 346.9011 	 pixels	 450.9719 	 microns
85 	 324.4774 	 pixels	 421.8211 	 microns
86 	 123.325 	 pixels	 160.3226 	 microns
87 	 480.3743 	 pixels	 624.4872 	 microns
88 	 390.7739 	 pixels	 508.0065 	 microns
89 	 156.9193 	 pixels	 203.9953 	 microns
90 	 425.2497 	 pixels	 552.8251 	 microns
91 	 228.1304 	 pixels	 296.5698 	 microns
92 	 288.5999 	 pixels	 375.1802 	 microns
93 	 212.4396 	 pixels	 276.1718 	 microns
94 	 204.3514 	 pixels	 265.6571 	 microns
95 	 388.4667 	 pixels	 505.0072 	 microns
96 	 173.4122 	 pixels	 225.436 	 microns
97 	 732.9582 	 pixels	 952.8466 	 microns
98 	 354.396 	 pixels	 460.7152 	 microns
99 	 155.4836 	 pixels	 202.1288 	 microns
100 	 330.647 	 pixels	 429.8415 	 microns
101 	 232.0888 	 pixels	 301.7157 	 microns
102 	 420.6911 	 pixels	 546.899 	 microns
103 	 259.8561 	 pixels	 337.8133 	 microns
104 	 133.5117 	 pixels	 173.5654 	 microns
105 	 220.4165 	 pixels	 286.5418 	 microns
106 	 275.9518 	 pixels	 358.7377 	 microns
107 	 207.8558 	 pixels	 270.2129 	 microns
108 	 334.1758 	 pixels	 434.429 	 microns
109 	 154.0825 	 pixels	 200.3075 	 microns
110 	 262.0451 	 pixels	 340.659 	 microns
111 	 344.9208 	 pixels	 448.3975 	 microns
112 	 730.6435 	 pixels	 949.8375 	 microns
113 	 320.7047 	 pixels	 416.9165 	 microns
114 	 194.3609 	 pixels	 252.6695 	 microns
115 	 134.7671 	 pixels	 175.1975 	 microns
116 	 340.8373 	 pixels	 443.0889 	 microns
117 	 446.1126 	 pixels	 579.9469 	 microns
118 	 214.0416 	 pixels	 278.2544 	 microns
119 	 472.0807 	 pixels	 613.7055 	 microns
120 	 391.4409 	 pixels	 508.8736 	 microns
121 	 166.5468 	 pixels	 216.5111 	 microns
122 	 404.8734 	 pixels	 526.3359 	 microns
123 	 264.6453 	 pixels	 344.0392 	 microns
124 	 370.81 	 pixels	 482.0535 	 microns
125 	 429.4781 	 pixels	 558.322 	 microns
126 	 306.7257 	 pixels	 398.7438 	 microns
127 	 724.2372 	 pixels	 941.5093 	 microns
128 	 344.3188 	 pixels	 447.6148 	 microns
129 	 253.8146 	 pixels	 329.9594 	 microns
130 	 326.835 	 pixels	 424.8859 	 microns
131 	 206.3193 	 pixels	 268.2154 	 microns
132 	 234.0789 	 pixels	 304.3029 	 microns
133 	 282.4406 	 pixels	 367.1732 	 microns
134 	 440.579 	 pixels	 572.7532 	 microns
135 	 299.9078 	 pixels	 389.8805 	 microns
136 	 737.5984 	 pixels	 958.8789 	 microns
137 	 553.0152 	 pixels	 718.9205 	 microns
138 	 326.3275 	 pixels	 424.2261 	 microns
139 	 488.947 	 pixels	 635.6318 	 microns
140 	 315.9888 	 pixels	 410.7859 	 microns
141 	 726.7991 	 pixels	 944.8398 	 microns
142 	 376.0125 	 pixels	 488.8168 	 microns
143 	 270.2842 	 pixels	 351.3698 	 microns
144 	 430.645 	 pixels	 559.8391 	 microns
145 	 356.7055 	 pixels	 463.7177 	 microns
146 	 407.3253 	 pixels	 529.5235 	 microns
147 	 721.8121 	 pixels	 938.3567 	 microns
148 	 343.2489 	 pixels	 446.224 	 microns
149 	 392.0375 	 pixels	 509.6492 	 microns
150 	 509.8256 	 pixels	 662.7739 	 microns
151 	 451.1339 	 pixels	 586.4746 	 microns
152 	 746.8053 	 pixels	 970.8478 	 microns
153 	 461.403 	 pixels	 599.8245 	 microns
154 	 443.4746 	 pixels	 576.5175 	 microns
155 	 622.6663 	 pixels	 809.4669 	 microns
156 	 415.6755 	 pixels	 540.3787 	 microns
157 	 744.0386 	 pixels	 967.2511 	 microns
158 	 595.295 	 pixels	 773.8843 	 microns
159 	 729.6631 	 pixels	 948.5629 	 microns
160 	 585.8438 	 pixels	 761.5977 	 microns
161 	 616.2761 	 pixels	 801.1597 	 microns
162 	 516.3288 	 pixels	 671.2282 	 microns
163 	 747.901 	 pixels	 972.2723 	 microns
164 	 593.2829 	 pixels	 771.2685 	 microns
165 	 772.8865 	 pixels	 1004.7535 	 microns
166 	 740.6152 	 pixels	 962.8007 	 microns
167 	 775.0364 	 pixels	 1007.5483 	 microns
