selection#  	  units 	 distance 	 units
2 	 120.5881 	 pixels	 156.7647 	 microns
3 	 146.0791 	 pixels	 189.903 	 microns
4 	 91.686 	 pixels	 119.192 	 microns
5 	 249.4736 	 pixels	 324.316 	 microns
6 	 119.472 	 pixels	 155.3138 	 microns
7 	 190.5691 	 pixels	 247.7401 	 microns
8 	 359.027 	 pixels	 466.7355 	 microns
9 	 307.399 	 pixels	 399.6191 	 microns
10 	 342.8344 	 pixels	 445.6852 	 microns
11 	 128.1135 	 pixels	 166.5478 	 microns
12 	 373.1719 	 pixels	 485.1239 	 microns
13 	 336.3895 	 pixels	 437.3068 	 microns
14 	 360.105 	 pixels	 468.1369 	 microns
15 	 323.1278 	 pixels	 420.0665 	 microns
16 	 334.9511 	 pixels	 435.4368 	 microns
17 	 415.36 	 pixels	 539.9685 	 microns
18 	 401.2211 	 pixels	 521.5879 	 microns
19 	 301.9237 	 pixels	 392.5012 	 microns
20 	 377.3537 	 pixels	 490.5603 	 microns
21 	 431.2153 	 pixels	 560.5805 	 microns
22 	 386.6443 	 pixels	 502.6381 	 microns
23 	 355.953 	 pixels	 462.7393 	 microns
24 	 415.8362 	 pixels	 540.5875 	 microns
25 	 428.0619 	 pixels	 556.4811 	 microns
26 	 394.5333 	 pixels	 512.8938 	 microns
27 	 333.834 	 pixels	 433.9846 	 microns
28 	 310.5222 	 pixels	 403.6793 	 microns
29 	 410.8401 	 pixels	 534.0927 	 microns
30 	 321.2708 	 pixels	 417.6525 	 microns
31 	 400.2868 	 pixels	 520.3733 	 microns
32 	 384.7247 	 pixels	 500.1426 	 microns
33 	 485.9415 	 pixels	 631.7245 	 microns
34 	 433.2607 	 pixels	 563.2394 	 microns
35 	 458.8137 	 pixels	 596.4584 	 microns
36 	 434.9391 	 pixels	 565.4214 	 microns
37 	 399.9407 	 pixels	 519.9235 	 microns
38 	 372.6566 	 pixels	 484.454 	 microns
39 	 425.9087 	 pixels	 553.6819 	 microns
40 	 419.4028 	 pixels	 545.2242 	 microns
41 	 464.5921 	 pixels	 603.9703 	 microns
42 	 342.9 	 pixels	 445.7705 	 microns
43 	 469.0737 	 pixels	 609.7965 	 microns
44 	 448.2603 	 pixels	 582.739 	 microns
45 	 516.9961 	 pixels	 672.0956 	 microns
46 	 427.9149 	 pixels	 556.2899 	 microns
47 	 471.0974 	 pixels	 612.4272 	 microns
48 	 452.0665 	 pixels	 587.687 	 microns
49 	 607.0675 	 pixels	 789.1886 	 microns
50 	 423.3474 	 pixels	 550.3522 	 microns
51 	 505.1448 	 pixels	 656.6889 	 microns
52 	 474.6445 	 pixels	 617.0384 	 microns
53 	 486.3393 	 pixels	 632.2417 	 microns
54 	 450.6133 	 pixels	 585.7979 	 microns
55 	 483.1385 	 pixels	 628.0807 	 microns
56 	 471.5991 	 pixels	 613.0795 	 microns
57 	 629.2768 	 pixels	 818.0607 	 microns
58 	 494.0732 	 pixels	 642.2958 	 microns
59 	 621.9934 	 pixels	 808.5923 	 microns
60 	 511.1481 	 pixels	 664.4931 	 microns
61 	 509.0037 	 pixels	 661.7055 	 microns
62 	 586.6308 	 pixels	 762.6208 	 microns
63 	 674.086 	 pixels	 876.3127 	 microns
64 	 682.9089 	 pixels	 887.7824 	 microns
65 	 689.5521 	 pixels	 896.4186 	 microns
