selection#  	  units 	 distance 	 units
2 	 75.7946 	 pixels	 98.533 	 microns
3 	 99.1114 	 pixels	 128.845 	 microns
4 	 109.788 	 pixels	 142.7246 	 microns
5 	 469.5385 	 pixels	 610.4006 	 microns
6 	 417.5523 	 pixels	 542.8186 	 microns
7 	 484.7101 	 pixels	 630.1237 	 microns
8 	 83.6639 	 pixels	 108.7632 	 microns
9 	 533.1173 	 pixels	 693.0532 	 microns
10 	 472.4237 	 pixels	 614.1515 	 microns
11 	 267.6612 	 pixels	 347.9599 	 microns
12 	 457.1066 	 pixels	 594.2392 	 microns
13 	 588.7747 	 pixels	 765.4079 	 microns
14 	 579.3423 	 pixels	 753.1458 	 microns
15 	 613.6402 	 pixels	 797.7331 	 microns
16 	 105.2454 	 pixels	 136.8191 	 microns
17 	 634.8335 	 pixels	 825.2844 	 microns
18 	 103.2327 	 pixels	 134.2027 	 microns
19 	 557.3476 	 pixels	 724.5526 	 microns
20 	 575.7098 	 pixels	 748.4234 	 microns
21 	 405.3651 	 pixels	 526.9752 	 microns
22 	 594.9793 	 pixels	 773.4739 	 microns
23 	 579.5405 	 pixels	 753.4035 	 microns
24 	 487.862 	 pixels	 634.2213 	 microns
25 	 202.1431 	 pixels	 262.7862 	 microns
26 	 106.3071 	 pixels	 138.1994 	 microns
27 	 579.3417 	 pixels	 753.145 	 microns
28 	 562.8353 	 pixels	 731.6866 	 microns
29 	 597.5358 	 pixels	 776.7973 	 microns
30 	 131.4081 	 pixels	 170.8306 	 microns
31 	 209.1721 	 pixels	 271.9239 	 microns
32 	 119.5102 	 pixels	 155.3634 	 microns
33 	 615.9584 	 pixels	 800.7467 	 microns
34 	 461.2201 	 pixels	 599.5867 	 microns
35 	 276.331 	 pixels	 359.2306 	 microns
36 	 274.1483 	 pixels	 356.3932 	 microns
37 	 500.6448 	 pixels	 650.8389 	 microns
38 	 119.8592 	 pixels	 155.8171 	 microns
39 	 610.1887 	 pixels	 793.2461 	 microns
40 	 106.6115 	 pixels	 138.595 	 microns
41 	 763.8125 	 pixels	 992.9573 	 microns
42 	 511.3827 	 pixels	 664.7982 	 microns
43 	 151.485 	 pixels	 196.9307 	 microns
44 	 125.2114 	 pixels	 162.7749 	 microns
45 	 598.8104 	 pixels	 778.4543 	 microns
46 	 387.4764 	 pixels	 503.7198 	 microns
47 	 769.1628 	 pixels	 999.9126 	 microns
48 	 362.7203 	 pixels	 471.5368 	 microns
49 	 603.9843 	 pixels	 785.1804 	 microns
50 	 592.1939 	 pixels	 769.8528 	 microns
51 	 236.8973 	 pixels	 307.9668 	 microns
52 	 534.14 	 pixels	 694.3827 	 microns
53 	 520.6093 	 pixels	 676.7928 	 microns
54 	 616.9047 	 pixels	 801.977 	 microns
55 	 238.6456 	 pixels	 310.2396 	 microns
56 	 557.1109 	 pixels	 724.2449 	 microns
57 	 496.2492 	 pixels	 645.1246 	 microns
58 	 579.4105 	 pixels	 753.2343 	 microns
59 	 540.841 	 pixels	 703.094 	 microns
60 	 628.6037 	 pixels	 817.1856 	 microns
61 	 593.8495 	 pixels	 772.0052 	 microns
62 	 474.9882 	 pixels	 617.4853 	 microns
63 	 572.9087 	 pixels	 744.7821 	 microns
64 	 397.6187 	 pixels	 516.9049 	 microns
65 	 619.4005 	 pixels	 805.2214 	 microns
66 	 567.6358 	 pixels	 737.9272 	 microns
67 	 466.6852 	 pixels	 606.6913 	 microns
68 	 489.1518 	 pixels	 635.898 	 microns
69 	 608.0747 	 pixels	 790.4979 	 microns
70 	 444.1863 	 pixels	 577.4428 	 microns
71 	 280.0157 	 pixels	 364.0208 	 microns
72 	 671.6993 	 pixels	 873.21 	 microns
73 	 537.1164 	 pixels	 698.252 	 microns
74 	 412.584 	 pixels	 536.3597 	 microns
75 	 783.0976 	 pixels	 1018.0279 	 microns
76 	 750.0302 	 pixels	 975.0403 	 microns
77 	 593.7202 	 pixels	 771.8371 	 microns
78 	 560.1486 	 pixels	 728.1939 	 microns
79 	 609.4484 	 pixels	 792.2837 	 microns
80 	 641.2341 	 pixels	 833.6052 	 microns
81 	 595.4215 	 pixels	 774.0488 	 microns
82 	 591.2706 	 pixels	 768.6526 	 microns
83 	 547.7089 	 pixels	 712.0223 	 microns
84 	 621.6596 	 pixels	 808.1583 	 microns
85 	 465.2342 	 pixels	 604.8051 	 microns
86 	 561.7512 	 pixels	 730.2773 	 microns
87 	 531.7742 	 pixels	 691.3071 	 microns
88 	 617.1187 	 pixels	 802.2552 	 microns
89 	 507.0707 	 pixels	 659.1926 	 microns
90 	 574.7323 	 pixels	 747.1527 	 microns
91 	 636.1592 	 pixels	 827.0078 	 microns
92 	 578.7848 	 pixels	 752.421 	 microns
93 	 573.9615 	 pixels	 746.1507 	 microns
94 	 600.0161 	 pixels	 780.0218 	 microns
95 	 616.1343 	 pixels	 800.9754 	 microns
96 	 659.8251 	 pixels	 857.7735 	 microns
97 	 686.8328 	 pixels	 892.8835 	 microns
