selection#  	  units 	 distance 	 units
2 	 238.8856 	 pixels	 310.5515 	 microns
3 	 356.006 	 pixels	 462.8082 	 microns
4 	 188.1027 	 pixels	 244.5338 	 microns
5 	 101.2561 	 pixels	 131.633 	 microns
6 	 253.8323 	 pixels	 329.9823 	 microns
7 	 363.8081 	 pixels	 472.951 	 microns
8 	 215.098 	 pixels	 279.6277 	 microns
9 	 158.4147 	 pixels	 205.9393 	 microns
10 	 551.4246 	 pixels	 716.8528 	 microns
11 	 145.4899 	 pixels	 189.137 	 microns
12 	 228.5916 	 pixels	 297.1693 	 microns
13 	 257.5053 	 pixels	 334.7572 	 microns
14 	 187.673 	 pixels	 243.9752 	 microns
15 	 472.921 	 pixels	 614.7979 	 microns
16 	 536.7185 	 pixels	 697.7348 	 microns
17 	 140.399 	 pixels	 182.5189 	 microns
18 	 228.7482 	 pixels	 297.3729 	 microns
19 	 483.0758 	 pixels	 627.9992 	 microns
20 	 257.7353 	 pixels	 335.0562 	 microns
21 	 267.5643 	 pixels	 347.8339 	 microns
22 	 438.1533 	 pixels	 569.5998 	 microns
23 	 250.1981 	 pixels	 325.2579 	 microns
24 	 518.6464 	 pixels	 674.241 	 microns
25 	 376.1885 	 pixels	 489.0456 	 microns
26 	 210.2823 	 pixels	 273.3672 	 microns
27 	 564.469 	 pixels	 733.8104 	 microns
28 	 499.959 	 pixels	 649.9474 	 microns
29 	 227.2262 	 pixels	 295.3943 	 microns
30 	 194.2378 	 pixels	 252.5094 	 microns
31 	 774.4178 	 pixels	 1006.7441 	 microns
32 	 215.0853 	 pixels	 279.6112 	 microns
33 	 517.4521 	 pixels	 672.6884 	 microns
34 	 158.8358 	 pixels	 206.4868 	 microns
35 	 94.0481 	 pixels	 122.2627 	 microns
36 	 229.8283 	 pixels	 298.777 	 microns
37 	 119.7843 	 pixels	 155.7197 	 microns
38 	 432.2986 	 pixels	 561.9888 	 microns
39 	 248.7016 	 pixels	 323.3125 	 microns
40 	 137.9461 	 pixels	 179.3301 	 microns
41 	 218.8623 	 pixels	 284.5213 	 microns
42 	 804.8588 	 pixels	 1046.3175 	 microns
43 	 96.812 	 pixels	 125.8557 	 microns
44 	 464.4361 	 pixels	 603.7675 	 microns
45 	 274.8349 	 pixels	 357.2857 	 microns
46 	 109.0768 	 pixels	 141.8 	 microns
47 	 488.385 	 pixels	 634.9011 	 microns
48 	 206.6151 	 pixels	 268.5999 	 microns
49 	 147.572 	 pixels	 191.8438 	 microns
50 	 464.3399 	 pixels	 603.6425 	 microns
51 	 256.6895 	 pixels	 333.6967 	 microns
52 	 411.0532 	 pixels	 534.3697 	 microns
53 	 562.5553 	 pixels	 731.3227 	 microns
54 	 223.0256 	 pixels	 289.9336 	 microns
55 	 312.3414 	 pixels	 406.0443 	 microns
56 	 194.0499 	 pixels	 252.2651 	 microns
57 	 120.7514 	 pixels	 156.977 	 microns
58 	 167.7114 	 pixels	 218.025 	 microns
59 	 237.5862 	 pixels	 308.8623 	 microns
60 	 788.8078 	 pixels	 1025.4512 	 microns
61 	 199.3125 	 pixels	 259.1066 	 microns
62 	 360.143 	 pixels	 468.1863 	 microns
63 	 173.0824 	 pixels	 225.0074 	 microns
64 	 518.8327 	 pixels	 674.4831 	 microns
65 	 96.5273 	 pixels	 125.4856 	 microns
66 	 290.7761 	 pixels	 378.0093 	 microns
67 	 278.804 	 pixels	 362.4456 	 microns
68 	 223.5881 	 pixels	 290.6648 	 microns
69 	 192.603 	 pixels	 250.3842 	 microns
70 	 180.5212 	 pixels	 234.6778 	 microns
71 	 251.2165 	 pixels	 326.5817 	 microns
72 	 90.567 	 pixels	 117.7372 	 microns
73 	 234.1711 	 pixels	 304.4227 	 microns
74 	 485.5007 	 pixels	 631.1515 	 microns
75 	 259.6577 	 pixels	 337.5553 	 microns
76 	 158.871 	 pixels	 206.5326 	 microns
77 	 146.3986 	 pixels	 190.3183 	 microns
78 	 371.3481 	 pixels	 482.753 	 microns
79 	 283.5719 	 pixels	 368.6438 	 microns
80 	 190.1816 	 pixels	 247.2363 	 microns
81 	 105.3407 	 pixels	 136.9431 	 microns
82 	 494.7623 	 pixels	 643.1917 	 microns
83 	 198.0865 	 pixels	 257.5127 	 microns
84 	 400.2697 	 pixels	 520.3511 	 microns
85 	 304.5938 	 pixels	 395.9724 	 microns
86 	 123.2889 	 pixels	 160.2758 	 microns
87 	 107.0289 	 pixels	 139.1377 	 microns
88 	 544.7724 	 pixels	 708.2049 	 microns
89 	 387.4104 	 pixels	 503.634 	 microns
90 	 151.8842 	 pixels	 197.4496 	 microns
91 	 564.5042 	 pixels	 733.8562 	 microns
92 	 243.45 	 pixels	 316.4853 	 microns
93 	 291.9891 	 pixels	 379.5863 	 microns
94 	 173.938 	 pixels	 226.1197 	 microns
95 	 219.5452 	 pixels	 285.4091 	 microns
96 	 107.6812 	 pixels	 139.9858 	 microns
97 	 422.3353 	 pixels	 549.0364 	 microns
98 	 120.5488 	 pixels	 156.7135 	 microns
99 	 239.9928 	 pixels	 311.9909 	 microns
100 	 182.1335 	 pixels	 236.7738 	 microns
101 	 444.2513 	 pixels	 577.5273 	 microns
102 	 139.7507 	 pixels	 181.6761 	 microns
103 	 474.3131 	 pixels	 616.6077 	 microns
104 	 257.3341 	 pixels	 334.5346 	 microns
105 	 243.9691 	 pixels	 317.1602 	 microns
106 	 537.6823 	 pixels	 698.9876 	 microns
107 	 207.4096 	 pixels	 269.6328 	 microns
108 	 160.6281 	 pixels	 208.8167 	 microns
109 	 312.7395 	 pixels	 406.5617 	 microns
110 	 557.6732 	 pixels	 724.9759 	 microns
111 	 245.8772 	 pixels	 319.6407 	 microns
112 	 420.1809 	 pixels	 546.2357 	 microns
113 	 391.4469 	 pixels	 508.8815 	 microns
114 	 354.4218 	 pixels	 460.7487 	 microns
115 	 204.7434 	 pixels	 266.1667 	 microns
116 	 510.6794 	 pixels	 663.8838 	 microns
117 	 148.7031 	 pixels	 193.3142 	 microns
118 	 127.158 	 pixels	 165.3056 	 microns
119 	 768.5144 	 pixels	 999.0697 	 microns
120 	 608.6843 	 pixels	 791.2904 	 microns
121 	 295.6379 	 pixels	 384.3296 	 microns
122 	 564.6905 	 pixels	 734.0984 	 microns
123 	 374.8779 	 pixels	 487.3417 	 microns
124 	 442.3198 	 pixels	 575.0163 	 microns
125 	 359.6181 	 pixels	 467.504 	 microns
126 	 198.1094 	 pixels	 257.5425 	 microns
127 	 325.9897 	 pixels	 423.787 	 microns
128 	 536.535 	 pixels	 697.4962 	 microns
129 	 232.4984 	 pixels	 302.2483 	 microns
130 	 166.6297 	 pixels	 216.6189 	 microns
131 	 106.6946 	 pixels	 138.7031 	 microns
132 	 151.3696 	 pixels	 196.7806 	 microns
133 	 465.5992 	 pixels	 605.2795 	 microns
134 	 555.9532 	 pixels	 722.7398 	 microns
135 	 168.7121 	 pixels	 219.326 	 microns
136 	 513.998 	 pixels	 668.1981 	 microns
137 	 207.3111 	 pixels	 269.5047 	 microns
138 	 569.7889 	 pixels	 740.7263 	 microns
139 	 398.597 	 pixels	 518.1766 	 microns
140 	 183.0869 	 pixels	 238.0132 	 microns
141 	 317.9332 	 pixels	 413.3136 	 microns
142 	 356.0689 	 pixels	 462.89 	 microns
143 	 193.9154 	 pixels	 252.0903 	 microns
144 	 379.7702 	 pixels	 493.7018 	 microns
145 	 342.7824 	 pixels	 445.6176 	 microns
146 	 289.3142 	 pixels	 376.1088 	 microns
147 	 371.6964 	 pixels	 483.2058 	 microns
148 	 356.865 	 pixels	 463.9249 	 microns
149 	 199.358 	 pixels	 259.1656 	 microns
150 	 184.9572 	 pixels	 240.4446 	 microns
151 	 240.782 	 pixels	 313.017 	 microns
152 	 576.3838 	 pixels	 749.2996 	 microns
153 	 414.2668 	 pixels	 538.5474 	 microns
154 	 317.6618 	 pixels	 412.9608 	 microns
155 	 175.0956 	 pixels	 227.6245 	 microns
156 	 161.4475 	 pixels	 209.8819 	 microns
157 	 294.9011 	 pixels	 383.3718 	 microns
158 	 542.6168 	 pixels	 705.4025 	 microns
159 	 144.5449 	 pixels	 187.9085 	 microns
160 	 246.37 	 pixels	 320.2813 	 microns
161 	 409.9886 	 pixels	 532.9857 	 microns
162 	 205.1263 	 pixels	 266.6644 	 microns
163 	 223.5363 	 pixels	 290.5974 	 microns
164 	 451.7741 	 pixels	 587.3069 	 microns
165 	 289.8745 	 pixels	 376.8373 	 microns
166 	 211.8918 	 pixels	 275.4596 	 microns
167 	 181.3348 	 pixels	 235.7355 	 microns
168 	 572.1173 	 pixels	 743.7533 	 microns
169 	 428.6218 	 pixels	 557.209 	 microns
170 	 298.4912 	 pixels	 388.0389 	 microns
171 	 518.9029 	 pixels	 674.5745 	 microns
172 	 344.6339 	 pixels	 448.0246 	 microns
173 	 267.079 	 pixels	 347.2031 	 microns
174 	 247.0629 	 pixels	 321.1821 	 microns
