selection#  	  units 	 distance 	 units
2 	 285.9186 	 pixels	 371.6945 	 microns
3 	 260.2447 	 pixels	 338.3184 	 microns
4 	 269.0128 	 pixels	 349.7169 	 microns
5 	 306.4214 	 pixels	 398.3482 	 microns
6 	 270.6915 	 pixels	 351.8993 	 microns
7 	 123.0185 	 pixels	 159.9242 	 microns
8 	 221.5442 	 pixels	 288.0078 	 microns
9 	 349.4573 	 pixels	 454.2949 	 microns
10 	 205.8047 	 pixels	 267.5463 	 microns
11 	 500.3923 	 pixels	 650.5106 	 microns
12 	 226.3863 	 pixels	 294.3025 	 microns
13 	 298.9027 	 pixels	 388.5739 	 microns
14 	 246.5621 	 pixels	 320.5311 	 microns
15 	 368.0277 	 pixels	 478.4365 	 microns
16 	 277.8571 	 pixels	 361.2146 	 microns
17 	 337.7254 	 pixels	 439.0434 	 microns
18 	 757.7423 	 pixels	 985.066 	 microns
19 	 230.0883 	 pixels	 299.1151 	 microns
20 	 310.0264 	 pixels	 403.0347 	 microns
21 	 248.0439 	 pixels	 322.4574 	 microns
22 	 720.2747 	 pixels	 936.3581 	 microns
23 	 353.9893 	 pixels	 460.1866 	 microns
24 	 328.1058 	 pixels	 426.5379 	 microns
25 	 601.6214 	 pixels	 782.1086 	 microns
26 	 724.23 	 pixels	 941.4999 	 microns
27 	 234.3699 	 pixels	 304.6811 	 microns
28 	 314.8276 	 pixels	 409.2763 	 microns
29 	 240.7212 	 pixels	 312.9379 	 microns
30 	 288.3276 	 pixels	 374.8263 	 microns
31 	 517.1639 	 pixels	 672.3137 	 microns
32 	 320.0636 	 pixels	 416.0831 	 microns
33 	 304.86 	 pixels	 396.3184 	 microns
34 	 259.2572 	 pixels	 337.0347 	 microns
35 	 727.4832 	 pixels	 945.7291 	 microns
36 	 360.7851 	 pixels	 469.021 	 microns
37 	 349.1738 	 pixels	 453.9264 	 microns
38 	 277.0984 	 pixels	 360.2283 	 microns
39 	 255.0875 	 pixels	 331.6141 	 microns
40 	 573.6892 	 pixels	 745.7967 	 microns
41 	 285.5222 	 pixels	 371.1793 	 microns
42 	 332.3649 	 pixels	 432.0747 	 microns
43 	 608.5427 	 pixels	 791.1063 	 microns
44 	 378.2761 	 pixels	 491.7595 	 microns
45 	 364.7675 	 pixels	 474.1982 	 microns
46 	 514.9821 	 pixels	 669.4774 	 microns
47 	 254.8703 	 pixels	 331.3317 	 microns
48 	 589.7029 	 pixels	 766.6145 	 microns
49 	 616.9589 	 pixels	 802.0473 	 microns
50 	 543.8194 	 pixels	 706.966 	 microns
51 	 499.8052 	 pixels	 649.7474 	 microns
52 	 328.7919 	 pixels	 427.43 	 microns
53 	 303.7073 	 pixels	 394.8199 	 microns
54 	 560.2194 	 pixels	 728.2859 	 microns
55 	 379.1854 	 pixels	 492.9415 	 microns
56 	 277.0256 	 pixels	 360.1337 	 microns
57 	 286.0373 	 pixels	 371.8489 	 microns
58 	 258.942 	 pixels	 336.6249 	 microns
59 	 382.7617 	 pixels	 497.5907 	 microns
60 	 781.6172 	 pixels	 1016.1033 	 microns
61 	 540.9165 	 pixels	 703.1921 	 microns
62 	 315.3855 	 pixels	 410.0016 	 microns
63 	 341.7804 	 pixels	 444.315 	 microns
64 	 182.9938 	 pixels	 237.8922 	 microns
65 	 284.9697 	 pixels	 370.461 	 microns
66 	 309.291 	 pixels	 402.0786 	 microns
67 	 789.5421 	 pixels	 1026.4058 	 microns
68 	 349.5379 	 pixels	 454.3997 	 microns
69 	 327.9046 	 pixels	 426.2764 	 microns
70 	 556.7399 	 pixels	 723.7626 	 microns
71 	 346.3069 	 pixels	 450.1994 	 microns
72 	 307.9589 	 pixels	 400.347 	 microns
73 	 291.3418 	 pixels	 378.7447 	 microns
74 	 701.8344 	 pixels	 912.3857 	 microns
75 	 380.2563 	 pixels	 494.3337 	 microns
76 	 210.6581 	 pixels	 273.8558 	 microns
77 	 621.5728 	 pixels	 808.0454 	 microns
78 	 314.2669 	 pixels	 408.5473 	 microns
79 	 587.6425 	 pixels	 763.936 	 microns
80 	 514.0904 	 pixels	 668.3182 	 microns
81 	 286.0736 	 pixels	 371.8961 	 microns
82 	 531.878 	 pixels	 691.4421 	 microns
83 	 470.5167 	 pixels	 611.6723 	 microns
84 	 444.6407 	 pixels	 578.0335 	 microns
85 	 577.7535 	 pixels	 751.0803 	 microns
86 	 292.5919 	 pixels	 380.3699 	 microns
87 	 605.6598 	 pixels	 787.3585 	 microns
88 	 696.6915 	 pixels	 905.6999 	 microns
89 	 541.8412 	 pixels	 704.3943 	 microns
90 	 570.5454 	 pixels	 741.7097 	 microns
91 	 517.652 	 pixels	 672.9483 	 microns
92 	 772.9251 	 pixels	 1004.8036 	 microns
93 	 322.7576 	 pixels	 419.5853 	 microns
94 	 247.4763 	 pixels	 321.7196 	 microns
95 	 504.1981 	 pixels	 655.4582 	 microns
96 	 400.5456 	 pixels	 520.7098 	 microns
97 	 333.6452 	 pixels	 433.7392 	 microns
98 	 634.5909 	 pixels	 824.969 	 microns
99 	 376.4114 	 pixels	 489.3353 	 microns
100 	 254.938 	 pixels	 331.4197 	 microns
101 	 610.9206 	 pixels	 794.1976 	 microns
102 	 519.0902 	 pixels	 674.8179 	 microns
103 	 232.9278 	 pixels	 302.8065 	 microns
104 	 202.0007 	 pixels	 262.6011 	 microns
105 	 566.5135 	 pixels	 736.4682 	 microns
106 	 321.395 	 pixels	 417.8139 	 microns
107 	 616.1571 	 pixels	 801.0051 	 microns
108 	 276.1337 	 pixels	 358.9742 	 microns
109 	 734.5844 	 pixels	 954.9607 	 microns
110 	 540.7701 	 pixels	 703.0018 	 microns
111 	 504.4596 	 pixels	 655.7982 	 microns
112 	 590.0283 	 pixels	 767.0375 	 microns
113 	 651.6613 	 pixels	 847.1605 	 microns
114 	 623.1244 	 pixels	 810.0625 	 microns
115 	 250.4194 	 pixels	 325.5456 	 microns
116 	 723.463 	 pixels	 940.5028 	 microns
117 	 356.9614 	 pixels	 464.0503 	 microns
118 	 289.8998 	 pixels	 376.8701 	 microns
119 	 546.8677 	 pixels	 710.9287 	 microns
120 	 606.3706 	 pixels	 788.2826 	 microns
121 	 370.6997 	 pixels	 481.9101 	 microns
122 	 656.6407 	 pixels	 853.6337 	 microns
123 	 685.0287 	 pixels	 890.5382 	 microns
124 	 604.5632 	 pixels	 785.9329 	 microns
125 	 238.7843 	 pixels	 310.4199 	 microns
126 	 364.645 	 pixels	 474.0389 	 microns
127 	 586.2193 	 pixels	 762.0859 	 microns
128 	 342.0795 	 pixels	 444.7038 	 microns
129 	 329.572 	 pixels	 428.444 	 microns
130 	 257.36 	 pixels	 334.5684 	 microns
