selection#  	  units 	 distance 	 units
2 	 205.5534 	 pixels	 267.2197 	 microns
3 	 318.2313 	 pixels	 413.7012 	 microns
4 	 263.0645 	 pixels	 341.9842 	 microns
5 	 459.6625 	 pixels	 597.5619 	 microns
6 	 299.3611 	 pixels	 389.1699 	 microns
7 	 210.7223 	 pixels	 273.9393 	 microns
8 	 249.8517 	 pixels	 324.8076 	 microns
9 	 272.9505 	 pixels	 354.836 	 microns
10 	 127.2683 	 pixels	 165.449 	 microns
11 	 349.3277 	 pixels	 454.1264 	 microns
12 	 216.3726 	 pixels	 281.2846 	 microns
13 	 325.2807 	 pixels	 422.8654 	 microns
14 	 295.5785 	 pixels	 384.2525 	 microns
15 	 277.6539 	 pixels	 360.9505 	 microns
16 	 382.3175 	 pixels	 497.0133 	 microns
17 	 244.6481 	 pixels	 318.0428 	 microns
18 	 140.9254 	 pixels	 183.2032 	 microns
19 	 237.5738 	 pixels	 308.8462 	 microns
20 	 410.124 	 pixels	 533.1617 	 microns
21 	 370.5188 	 pixels	 481.6749 	 microns
22 	 381.3624 	 pixels	 495.7716 	 microns
23 	 288.9529 	 pixels	 375.6391 	 microns
24 	 729.7695 	 pixels	 948.7013 	 microns
25 	 201.7277 	 pixels	 262.2463 	 microns
26 	 264.9006 	 pixels	 344.3711 	 microns
27 	 340.8014 	 pixels	 443.0423 	 microns
28 	 278.5656 	 pixels	 362.1357 	 microns
29 	 291.2957 	 pixels	 378.6848 	 microns
30 	 230.0028 	 pixels	 299.0039 	 microns
31 	 265.8296 	 pixels	 345.5788 	 microns
32 	 236.5956 	 pixels	 307.5746 	 microns
33 	 298.8213 	 pixels	 388.468 	 microns
34 	 333.2357 	 pixels	 433.2069 	 microns
35 	 230.4572 	 pixels	 299.5946 	 microns
36 	 522.7542 	 pixels	 679.5812 	 microns
37 	 262.9625 	 pixels	 341.8516 	 microns
38 	 328.9602 	 pixels	 427.6487 	 microns
39 	 289.3573 	 pixels	 376.1648 	 microns
40 	 218.1638 	 pixels	 283.6132 	 microns
41 	 233.2435 	 pixels	 303.2169 	 microns
42 	 139.4208 	 pixels	 181.2473 	 microns
43 	 215.3076 	 pixels	 279.9002 	 microns
44 	 190.3124 	 pixels	 247.4064 	 microns
45 	 223.7793 	 pixels	 290.9134 	 microns
46 	 329.3843 	 pixels	 428.2 	 microns
47 	 304.8623 	 pixels	 396.3214 	 microns
48 	 433.0964 	 pixels	 563.0259 	 microns
49 	 354.3616 	 pixels	 460.6706 	 microns
50 	 289.2953 	 pixels	 376.0842 	 microns
51 	 252.5202 	 pixels	 328.2766 	 microns
52 	 306.7316 	 pixels	 398.7515 	 microns
53 	 201.5877 	 pixels	 262.0643 	 microns
54 	 594.2883 	 pixels	 772.5755 	 microns
55 	 281.7043 	 pixels	 366.2159 	 microns
56 	 340.6357 	 pixels	 442.8268 	 microns
57 	 300.5603 	 pixels	 390.7287 	 microns
58 	 0.4713 	 pixels	 0.6127 	 microns
59 	 517.4253 	 pixels	 672.6536 	 microns
60 	 245.3792 	 pixels	 318.9933 	 microns
61 	 422.1681 	 pixels	 548.8191 	 microns
62 	 600.8489 	 pixels	 781.1043 	 microns
63 	 515.0418 	 pixels	 669.5551 	 microns
64 	 288.265 	 pixels	 374.7449 	 microns
65 	 580.566 	 pixels	 754.7365 	 microns
66 	 400.4639 	 pixels	 520.6035 	 microns
67 	 556.987 	 pixels	 724.0838 	 microns
68 	 420.7322 	 pixels	 546.9524 	 microns
69 	 329.7387 	 pixels	 428.6608 	 microns
70 	 516.437 	 pixels	 671.3687 	 microns
71 	 353.3076 	 pixels	 459.3003 	 microns
72 	 272.2154 	 pixels	 353.8804 	 microns
73 	 197.2526 	 pixels	 256.4287 	 microns
74 	 428.2634 	 pixels	 556.743 	 microns
75 	 239.6772 	 pixels	 311.5807 	 microns
76 	 281.1583 	 pixels	 365.5061 	 microns
77 	 327.8256 	 pixels	 426.1737 	 microns
78 	 558.8397 	 pixels	 726.4924 	 microns
79 	 263.2305 	 pixels	 342.2 	 microns
80 	 296.6967 	 pixels	 385.706 	 microns
81 	 277.3421 	 pixels	 360.5451 	 microns
82 	 534.285 	 pixels	 694.5712 	 microns
83 	 362.6695 	 pixels	 471.4708 	 microns
84 	 242.4384 	 pixels	 315.1702 	 microns
85 	 632.3335 	 pixels	 822.0344 	 microns
86 	 543.6967 	 pixels	 706.8065 	 microns
87 	 570.5686 	 pixels	 741.7399 	 microns
88 	 229.2249 	 pixels	 297.9926 	 microns
89 	 654.0053 	 pixels	 850.2077 	 microns
90 	 333.406 	 pixels	 433.4282 	 microns
91 	 271.6369 	 pixels	 353.1284 	 microns
