selection#  	  units 	 distance 	 units
2 	 138.7189 	 pixels	 180.3347 	 microns
3 	 98.8651 	 pixels	 128.5248 	 microns
4 	 130.2617 	 pixels	 169.3404 	 microns
5 	 190.1801 	 pixels	 247.2344 	 microns
6 	 168.4977 	 pixels	 219.0472 	 microns
7 	 268.0414 	 pixels	 348.4541 	 microns
8 	 211.1111 	 pixels	 274.4448 	 microns
9 	 153.3273 	 pixels	 199.3257 	 microns
10 	 127.1506 	 pixels	 165.296 	 microns
11 	 235.3459 	 pixels	 305.9499 	 microns
12 	 154.5965 	 pixels	 200.9756 	 microns
13 	 80.3641 	 pixels	 104.4735 	 microns
14 	 249.2283 	 pixels	 323.9971 	 microns
15 	 134.7215 	 pixels	 175.1382 	 microns
16 	 96.4847 	 pixels	 125.4302 	 microns
17 	 218.4586 	 pixels	 283.9964 	 microns
18 	 166.9747 	 pixels	 217.0673 	 microns
19 	 98.8288 	 pixels	 128.4775 	 microns
20 	 123.2866 	 pixels	 160.2727 	 microns
21 	 355.4917 	 pixels	 462.1396 	 microns
22 	 244.1946 	 pixels	 317.4533 	 microns
23 	 132.4687 	 pixels	 172.2095 	 microns
24 	 413.3756 	 pixels	 537.3888 	 microns
25 	 462.9293 	 pixels	 601.8086 	 microns
26 	 134.3773 	 pixels	 174.6907 	 microns
27 	 153.0684 	 pixels	 198.9892 	 microns
28 	 99.3355 	 pixels	 129.1363 	 microns
29 	 225.3638 	 pixels	 292.9733 	 microns
30 	 358.7666 	 pixels	 466.3971 	 microns
31 	 497.831 	 pixels	 647.1809 	 microns
32 	 134.0377 	 pixels	 174.2492 	 microns
33 	 208.3668 	 pixels	 270.8771 	 microns
34 	 389.8345 	 pixels	 506.7854 	 microns
35 	 368.6853 	 pixels	 479.2914 	 microns
36 	 569.1627 	 pixels	 739.9122 	 microns
37 	 453.5924 	 pixels	 589.6707 	 microns
38 	 256.8497 	 pixels	 333.905 	 microns
39 	 91.4006 	 pixels	 118.8209 	 microns
40 	 367.5026 	 pixels	 477.7539 	 microns
41 	 166.913 	 pixels	 216.9871 	 microns
42 	 234.0944 	 pixels	 304.3231 	 microns
43 	 216.1501 	 pixels	 280.9954 	 microns
44 	 138.9223 	 pixels	 180.5992 	 microns
45 	 160.9212 	 pixels	 209.1978 	 microns
46 	 334.4855 	 pixels	 434.8316 	 microns
47 	 300.9457 	 pixels	 391.2299 	 microns
48 	 227.6725 	 pixels	 295.9746 	 microns
49 	 529.0891 	 pixels	 687.8165 	 microns
50 	 627.2473 	 pixels	 815.4223 	 microns
51 	 276.3754 	 pixels	 359.2884 	 microns
52 	 308.8432 	 pixels	 401.4966 	 microns
53 	 298.2647 	 pixels	 387.7446 	 microns
54 	 400.0528 	 pixels	 520.0691 	 microns
55 	 639.1996 	 pixels	 830.9603 	 microns
56 	 231.2921 	 pixels	 300.68 	 microns
57 	 571.1593 	 pixels	 742.5078 	 microns
58 	 256.1755 	 pixels	 333.0285 	 microns
59 	 245.7073 	 pixels	 319.4198 	 microns
60 	 602.2377 	 pixels	 782.9098 	 microns
61 	 126.0779 	 pixels	 163.9015 	 microns
62 	 200.5243 	 pixels	 260.6818 	 microns
63 	 94.1414 	 pixels	 122.3839 	 microns
64 	 361.8054 	 pixels	 470.3475 	 microns
65 	 116.6777 	 pixels	 151.6811 	 microns
66 	 240.785 	 pixels	 313.0209 	 microns
67 	 139.2069 	 pixels	 180.9691 	 microns
68 	 579.7964 	 pixels	 753.736 	 microns
69 	 231.5954 	 pixels	 301.0743 	 microns
70 	 432.5023 	 pixels	 562.2536 	 microns
71 	 117.1989 	 pixels	 152.3588 	 microns
72 	 203.8215 	 pixels	 264.9682 	 microns
73 	 159.2811 	 pixels	 207.0656 	 microns
74 	 194.1019 	 pixels	 252.3327 	 microns
75 	 215.3542 	 pixels	 279.9608 	 microns
76 	 134.8211 	 pixels	 175.2676 	 microns
77 	 368.5177 	 pixels	 479.0735 	 microns
78 	 407.1816 	 pixels	 529.3366 	 microns
79 	 391.1599 	 pixels	 508.5084 	 microns
80 	 579.8925 	 pixels	 753.861 	 microns
81 	 476.0725 	 pixels	 618.8948 	 microns
82 	 224.8554 	 pixels	 292.3124 	 microns
83 	 276.2306 	 pixels	 359.1001 	 microns
84 	 174.0142 	 pixels	 226.2187 	 microns
85 	 362.633 	 pixels	 471.4234 	 microns
86 	 340.8433 	 pixels	 443.0967 	 microns
87 	 136.4091 	 pixels	 177.332 	 microns
88 	 239.3717 	 pixels	 311.1835 	 microns
89 	 271.7342 	 pixels	 353.2548 	 microns
90 	 225.1642 	 pixels	 292.7138 	 microns
91 	 171.8662 	 pixels	 223.4263 	 microns
92 	 262.6537 	 pixels	 341.4501 	 microns
93 	 210.7431 	 pixels	 273.9663 	 microns
94 	 102.5454 	 pixels	 133.3092 	 microns
95 	 373.3063 	 pixels	 485.2987 	 microns
96 	 323.7447 	 pixels	 420.8685 	 microns
97 	 541.8498 	 pixels	 704.4055 	 microns
98 	 619.6063 	 pixels	 805.489 	 microns
99 	 283.7959 	 pixels	 368.935 	 microns
100 	 91.3227 	 pixels	 118.7196 	 microns
101 	 126.8891 	 pixels	 164.956 	 microns
102 	 380.8797 	 pixels	 495.1441 	 microns
103 	 339.3312 	 pixels	 441.131 	 microns
104 	 195.2431 	 pixels	 253.8163 	 microns
105 	 117.6994 	 pixels	 153.0094 	 microns
106 	 304.4026 	 pixels	 395.7237 	 microns
107 	 846.6731 	 pixels	 1100.6761 	 microns
108 	 399.8853 	 pixels	 519.8514 	 microns
109 	 226.107 	 pixels	 293.9394 	 microns
110 	 528.2698 	 pixels	 686.7514 	 microns
111 	 192.9877 	 pixels	 250.8843 	 microns
112 	 181.0265 	 pixels	 235.3347 	 microns
113 	 542.6818 	 pixels	 705.487 	 microns
114 	 135.7357 	 pixels	 176.4565 	 microns
115 	 500.8104 	 pixels	 651.0541 	 microns
116 	 325.9622 	 pixels	 423.7513 	 microns
117 	 424.9745 	 pixels	 552.4673 	 microns
118 	 576.5356 	 pixels	 749.497 	 microns
119 	 343.9038 	 pixels	 447.0754 	 microns
120 	 242.6482 	 pixels	 315.443 	 microns
121 	 544.8096 	 pixels	 708.2532 	 microns
122 	 270.4145 	 pixels	 351.5392 	 microns
123 	 207.2891 	 pixels	 269.4761 	 microns
124 	 123.012 	 pixels	 159.9158 	 microns
125 	 860.9604 	 pixels	 1119.2496 	 microns
126 	 371.2372 	 pixels	 482.6089 	 microns
127 	 183.0392 	 pixels	 237.9512 	 microns
128 	 424.8539 	 pixels	 552.3107 	 microns
129 	 137.1076 	 pixels	 178.2401 	 microns
130 	 210.2727 	 pixels	 273.3548 	 microns
131 	 365.68 	 pixels	 475.3844 	 microns
132 	 337.8012 	 pixels	 439.1419 	 microns
133 	 549.7104 	 pixels	 714.6242 	 microns
134 	 392.6999 	 pixels	 510.5104 	 microns
135 	 251.71 	 pixels	 327.2233 	 microns
136 	 197.984 	 pixels	 257.3795 	 microns
137 	 510.1896 	 pixels	 663.2471 	 microns
138 	 355.742 	 pixels	 462.465 	 microns
139 	 126.4243 	 pixels	 164.3517 	 microns
140 	 116.6984 	 pixels	 151.7081 	 microns
141 	 193.0645 	 pixels	 250.9841 	 microns
142 	 134.8527 	 pixels	 175.3086 	 microns
143 	 458.8061 	 pixels	 596.4485 	 microns
144 	 164.0118 	 pixels	 213.2156 	 microns
145 	 858.1684 	 pixels	 1115.6201 	 microns
146 	 373.1408 	 pixels	 485.0835 	 microns
147 	 221.1483 	 pixels	 287.493 	 microns
148 	 143.1742 	 pixels	 186.1267 	 microns
149 	 392.7876 	 pixels	 510.6244 	 microns
150 	 242.5036 	 pixels	 315.255 	 microns
151 	 445.332 	 pixels	 578.9322 	 microns
152 	 422.368 	 pixels	 549.0789 	 microns
153 	 364.7975 	 pixels	 474.2373 	 microns
154 	 336.9177 	 pixels	 437.9935 	 microns
155 	 317.899 	 pixels	 413.2691 	 microns
156 	 427.1644 	 pixels	 555.3142 	 microns
157 	 371.1915 	 pixels	 482.5494 	 microns
158 	 270.3626 	 pixels	 351.4718 	 microns
159 	 202.5385 	 pixels	 263.3003 	 microns
160 	 244.8303 	 pixels	 318.2797 	 microns
161 	 385.7104 	 pixels	 501.424 	 microns
162 	 315.1078 	 pixels	 409.6406 	 microns
