selection#  	  units 	 distance 	 units
2 	 149.0226 	 pixels	 193.7293 	 microns
3 	 294.8304 	 pixels	 383.2795 	 microns
4 	 272.8619 	 pixels	 354.7205 	 microns
5 	 126.1575 	 pixels	 164.0047 	 microns
6 	 444.0721 	 pixels	 577.2937 	 microns
7 	 464.0366 	 pixels	 603.2476 	 microns
8 	 493.8522 	 pixels	 642.0079 	 microns
9 	 536.6982 	 pixels	 697.7077 	 microns
10 	 544.459 	 pixels	 707.7967 	 microns
11 	 526.0211 	 pixels	 683.8275 	 microns
12 	 482.0833 	 pixels	 626.7083 	 microns
13 	 552.2069 	 pixels	 717.869 	 microns
14 	 540.1156 	 pixels	 702.1503 	 microns
15 	 117.0099 	 pixels	 152.1129 	 microns
16 	 600.265 	 pixels	 780.3445 	 microns
17 	 414.5719 	 pixels	 538.9435 	 microns
18 	 179.2948 	 pixels	 233.0833 	 microns
19 	 131.8002 	 pixels	 171.3402 	 microns
20 	 620.0639 	 pixels	 806.0831 	 microns
21 	 574.7098 	 pixels	 747.1227 	 microns
22 	 609.4089 	 pixels	 792.2315 	 microns
23 	 123.9455 	 pixels	 161.1291 	 microns
24 	 103.3908 	 pixels	 134.408 	 microns
25 	 570.3196 	 pixels	 741.4155 	 microns
26 	 580.9093 	 pixels	 755.182 	 microns
27 	 539.8004 	 pixels	 701.7406 	 microns
28 	 438.4505 	 pixels	 569.9856 	 microns
29 	 499.3936 	 pixels	 649.2117 	 microns
30 	 210.9645 	 pixels	 274.2539 	 microns
31 	 399.4143 	 pixels	 519.2386 	 microns
32 	 604.9072 	 pixels	 786.3794 	 microns
33 	 580.7776 	 pixels	 755.0108 	 microns
34 	 440.4116 	 pixels	 572.5351 	 microns
35 	 563.6848 	 pixels	 732.7903 	 microns
36 	 657.9284 	 pixels	 855.3069 	 microns
37 	 426.8929 	 pixels	 554.9608 	 microns
38 	 450.9844 	 pixels	 586.2798 	 microns
39 	 593.4051 	 pixels	 771.4266 	 microns
40 	 638.7568 	 pixels	 830.3839 	 microns
41 	 536.7024 	 pixels	 697.7131 	 microns
42 	 448.1003 	 pixels	 582.5304 	 microns
43 	 504.7776 	 pixels	 656.2108 	 microns
44 	 700.3235 	 pixels	 910.4205 	 microns
45 	 574.1803 	 pixels	 746.4343 	 microns
46 	 559.9944 	 pixels	 727.9927 	 microns
47 	 540.8572 	 pixels	 703.1143 	 microns
48 	 588.3224 	 pixels	 764.8191 	 microns
49 	 432.3995 	 pixels	 562.1193 	 microns
50 	 781.0461 	 pixels	 1015.36 	 microns
51 	 614.4806 	 pixels	 798.8247 	 microns
52 	 644.941 	 pixels	 838.4234 	 microns
53 	 650.5789 	 pixels	 845.7526 	 microns
54 	 576.1657 	 pixels	 749.0155 	 microns
55 	 605.1865 	 pixels	 786.7424 	 microns
56 	 577.48 	 pixels	 750.724 	 microns
57 	 602.9854 	 pixels	 783.881 	 microns
58 	 675.9629 	 pixels	 878.7518 	 microns
59 	 641.213 	 pixels	 833.5769 	 microns
60 	 702.8049 	 pixels	 913.6463 	 microns
61 	 680.0865 	 pixels	 884.1124 	 microns
62 	 683.5516 	 pixels	 888.6171 	 microns
63 	 717.5552 	 pixels	 932.8218 	 microns
64 	 717.4926 	 pixels	 932.7404 	 microns
65 	 707.5656 	 pixels	 919.8352 	 microns
