selection#  	  units 	 distance 	 units
2 	 112.6099 	 pixels	 146.393 	 microns
3 	 116.8694 	 pixels	 151.9303 	 microns
4 	 78.8819 	 pixels	 102.5466 	 microns
5 	 117.3844 	 pixels	 152.5998 	 microns
6 	 132.1811 	 pixels	 171.8356 	 microns
7 	 357.29 	 pixels	 464.4774 	 microns
8 	 370.9433 	 pixels	 482.2268 	 microns
9 	 428.2908 	 pixels	 556.7786 	 microns
10 	 425.2971 	 pixels	 552.8868 	 microns
11 	 128.8682 	 pixels	 167.5288 	 microns
12 	 466.2199 	 pixels	 606.0865 	 microns
13 	 408.4614 	 pixels	 531.0003 	 microns
14 	 383.7592 	 pixels	 498.8874 	 microns
15 	 488.6972 	 pixels	 635.3071 	 microns
16 	 474.1232 	 pixels	 616.3608 	 microns
17 	 413.5207 	 pixels	 537.5774 	 microns
18 	 444.7115 	 pixels	 578.1256 	 microns
19 	 405.6792 	 pixels	 527.3835 	 microns
20 	 418.5804 	 pixels	 544.1551 	 microns
21 	 493.8795 	 pixels	 642.044 	 microns
22 	 444.5856 	 pixels	 577.9619 	 microns
23 	 488.1086 	 pixels	 634.5418 	 microns
24 	 393.11 	 pixels	 511.0435 	 microns
25 	 460.6761 	 pixels	 598.8795 	 microns
26 	 427.7829 	 pixels	 556.1183 	 microns
27 	 492.6924 	 pixels	 640.5008 	 microns
28 	 362.2531 	 pixels	 470.9295 	 microns
29 	 512.1913 	 pixels	 665.8494 	 microns
30 	 424.6335 	 pixels	 552.0242 	 microns
31 	 226.3369 	 pixels	 294.2383 	 microns
32 	 452.2323 	 pixels	 587.9025 	 microns
33 	 480.2164 	 pixels	 624.2819 	 microns
34 	 463.9981 	 pixels	 603.1982 	 microns
35 	 536.6588 	 pixels	 697.6571 	 microns
36 	 531.5472 	 pixels	 691.012 	 microns
37 	 414.1183 	 pixels	 538.3543 	 microns
38 	 539.9063 	 pixels	 701.8789 	 microns
39 	 357.1665 	 pixels	 464.317 	 microns
40 	 442.4526 	 pixels	 575.189 	 microns
41 	 391.6545 	 pixels	 509.1514 	 microns
42 	 377.2326 	 pixels	 490.4029 	 microns
43 	 430.0842 	 pixels	 559.11 	 microns
44 	 495.7626 	 pixels	 644.492 	 microns
45 	 545.1326 	 pixels	 708.6731 	 microns
46 	 509.1234 	 pixels	 661.8611 	 microns
47 	 399.8871 	 pixels	 519.8537 	 microns
48 	 435.0349 	 pixels	 565.5459 	 microns
49 	 492.706 	 pixels	 640.5185 	 microns
50 	 510.9597 	 pixels	 664.2482 	 microns
51 	 486.7166 	 pixels	 632.7323 	 microns
52 	 396.5198 	 pixels	 515.4762 	 microns
53 	 474.6419 	 pixels	 617.0351 	 microns
54 	 551.9196 	 pixels	 717.4962 	 microns
55 	 519.777 	 pixels	 675.7108 	 microns
56 	 450.3074 	 pixels	 585.4002 	 microns
57 	 481.8638 	 pixels	 626.4235 	 microns
58 	 427.4583 	 pixels	 555.6964 	 microns
59 	 525.3707 	 pixels	 682.9826 	 microns
60 	 508.0004 	 pixels	 660.4012 	 microns
61 	 562.5565 	 pixels	 731.3241 	 microns
62 	 560.4681 	 pixels	 728.6093 	 microns
63 	 429.2769 	 pixels	 558.0606 	 microns
64 	 519.3658 	 pixels	 675.1762 	 microns
65 	 489.4775 	 pixels	 636.3214 	 microns
66 	 589.4616 	 pixels	 766.3008 	 microns
67 	 563.2562 	 pixels	 732.2337 	 microns
68 	 547.5155 	 pixels	 711.7708 	 microns
69 	 685.2863 	 pixels	 890.8731 	 microns
70 	 510.4622 	 pixels	 663.6015 	 microns
71 	 560.7838 	 pixels	 729.0196 	 microns
72 	 535.1475 	 pixels	 695.6924 	 microns
73 	 703.8161 	 pixels	 914.9619 	 microns
74 	 521.5341 	 pixels	 677.9949 	 microns
75 	 565.0645 	 pixels	 734.5846 	 microns
