selection#  	  units 	 distance 	 units
2 	 273.8965 	 pixels	 356.0659 	 microns
3 	 145.5207 	 pixels	 189.1771 	 microns
4 	 480.5305 	 pixels	 624.6903 	 microns
5 	 551.0732 	 pixels	 716.3959 	 microns
6 	 591.9398 	 pixels	 769.5225 	 microns
7 	 483.7903 	 pixels	 628.928 	 microns
8 	 382.3431 	 pixels	 497.0465 	 microns
9 	 456.9217 	 pixels	 593.9988 	 microns
10 	 419.221 	 pixels	 544.9878 	 microns
11 	 432.875 	 pixels	 562.7381 	 microns
12 	 654.755 	 pixels	 851.1824 	 microns
13 	 461.896 	 pixels	 600.4654 	 microns
14 	 481.0435 	 pixels	 625.3572 	 microns
15 	 628.1424 	 pixels	 816.586 	 microns
16 	 467.3829 	 pixels	 607.5984 	 microns
17 	 585.1031 	 pixels	 760.6348 	 microns
18 	 551.4383 	 pixels	 716.8705 	 microns
19 	 493.834 	 pixels	 641.9849 	 microns
20 	 671.0678 	 pixels	 872.389 	 microns
21 	 634.3787 	 pixels	 824.6931 	 microns
22 	 599.303 	 pixels	 779.0947 	 microns
23 	 609.6833 	 pixels	 792.5891 	 microns
24 	 753.8601 	 pixels	 980.0191 	 microns
25 	 667.4842 	 pixels	 867.7303 	 microns
26 	 638.3 	 pixels	 829.7908 	 microns
27 	 633.704 	 pixels	 823.8161 	 microns
28 	 573.2317 	 pixels	 745.2019 	 microns
29 	 678.1406 	 pixels	 881.5836 	 microns
30 	 711.3468 	 pixels	 924.7517 	 microns
31 	 624.3157 	 pixels	 811.6113 	 microns
32 	 720.0062 	 pixels	 936.009 	 microns
33 	 740.9083 	 pixels	 963.1817 	 microns
34 	 733.3964 	 pixels	 953.4162 	 microns
