selection#  	  units 	 distance 	 units
2 	 81.7261 	 pixels	 106.244 	 microns
3 	 90.6315 	 pixels	 117.8211 	 microns
4 	 116.4782 	 pixels	 151.4219 	 microns
5 	 104.316 	 pixels	 135.6109 	 microns
6 	 170.0301 	 pixels	 221.0394 	 microns
7 	 268.0828 	 pixels	 348.5079 	 microns
8 	 114.6716 	 pixels	 149.0732 	 microns
9 	 185.9343 	 pixels	 241.7148 	 microns
10 	 203.7706 	 pixels	 264.902 	 microns
11 	 159.0764 	 pixels	 206.7995 	 microns
12 	 183.8855 	 pixels	 239.0514 	 microns
13 	 246.0745 	 pixels	 319.8972 	 microns
14 	 335.0294 	 pixels	 435.5387 	 microns
15 	 243.2032 	 pixels	 316.1645 	 microns
16 	 121.2602 	 pixels	 157.6385 	 microns
17 	 187.8192 	 pixels	 244.1652 	 microns
18 	 394.0834 	 pixels	 512.3089 	 microns
19 	 341.7864 	 pixels	 444.3227 	 microns
20 	 335.3438 	 pixels	 435.9474 	 microns
21 	 294.6074 	 pixels	 382.99 	 microns
22 	 248.8285 	 pixels	 323.4774 	 microns
23 	 267.9897 	 pixels	 348.387 	 microns
24 	 209.4428 	 pixels	 272.2759 	 microns
25 	 315.941 	 pixels	 410.7237 	 microns
26 	 139.9417 	 pixels	 181.9245 	 microns
27 	 403.5438 	 pixels	 524.6075 	 microns
28 	 115.5436 	 pixels	 150.2068 	 microns
29 	 164.8949 	 pixels	 214.3635 	 microns
30 	 506.6885 	 pixels	 658.6957 	 microns
31 	 260.171 	 pixels	 338.2226 	 microns
32 	 219.9895 	 pixels	 285.9866 	 microns
33 	 640.4336 	 pixels	 832.5645 	 microns
34 	 133.0152 	 pixels	 172.92 	 microns
35 	 510.5022 	 pixels	 663.6535 	 microns
36 	 604.3547 	 pixels	 785.6619 	 microns
37 	 478.2371 	 pixels	 621.7089 	 microns
38 	 437.7654 	 pixels	 569.0956 	 microns
39 	 382.9117 	 pixels	 497.7858 	 microns
40 	 194.6768 	 pixels	 253.0802 	 microns
41 	 316.7639 	 pixels	 411.7935 	 microns
42 	 407.5995 	 pixels	 529.8799 	 microns
43 	 360.2759 	 pixels	 468.3591 	 microns
44 	 152.3492 	 pixels	 198.0541 	 microns
45 	 464.2155 	 pixels	 603.4807 	 microns
46 	 191.2724 	 pixels	 248.6544 	 microns
47 	 217.4326 	 pixels	 282.6627 	 microns
48 	 340.8014 	 pixels	 443.0423 	 microns
49 	 128.5047 	 pixels	 167.0562 	 microns
50 	 475.5352 	 pixels	 618.1964 	 microns
51 	 203.8709 	 pixels	 265.0324 	 microns
52 	 495.0338 	 pixels	 643.5446 	 microns
53 	 577.1343 	 pixels	 750.2753 	 microns
54 	 129.8097 	 pixels	 168.7528 	 microns
55 	 366.7196 	 pixels	 476.736 	 microns
56 	 428.646 	 pixels	 557.2403 	 microns
57 	 463.5412 	 pixels	 602.6042 	 microns
58 	 210.4356 	 pixels	 273.5665 	 microns
59 	 169.9647 	 pixels	 220.9543 	 microns
60 	 185.7006 	 pixels	 241.4111 	 microns
61 	 486.2745 	 pixels	 632.1575 	 microns
62 	 447.4206 	 pixels	 581.6474 	 microns
63 	 511.4936 	 pixels	 664.9424 	 microns
64 	 355.283 	 pixels	 461.8683 	 microns
65 	 890.5502 	 pixels	 1157.7164 	 microns
66 	 471.7235 	 pixels	 613.2412 	 microns
67 	 419.9581 	 pixels	 545.9461 	 microns
68 	 391.7226 	 pixels	 509.2399 	 microns
69 	 536.3995 	 pixels	 697.3201 	 microns
70 	 260.6336 	 pixels	 338.824 	 microns
71 	 280.7367 	 pixels	 364.9581 	 microns
72 	 173.4409 	 pixels	 225.4734 	 microns
73 	 132.0297 	 pixels	 171.6388 	 microns
74 	 627.7671 	 pixels	 816.098 	 microns
75 	 225.1592 	 pixels	 292.7073 	 microns
76 	 313.3645 	 pixels	 407.3743 	 microns
77 	 508.5265 	 pixels	 661.0851 	 microns
78 	 126.48 	 pixels	 164.4242 	 microns
79 	 602.1147 	 pixels	 782.7498 	 microns
80 	 183.6255 	 pixels	 238.7133 	 microns
81 	 414.5533 	 pixels	 538.9199 	 microns
82 	 252.6701 	 pixels	 328.4715 	 microns
83 	 209.7154 	 pixels	 272.6303 	 microns
84 	 235.4644 	 pixels	 306.104 	 microns
85 	 108.743 	 pixels	 141.366 	 microns
86 	 497.7882 	 pixels	 647.1253 	 microns
87 	 191.0345 	 pixels	 248.3451 	 microns
88 	 256.3142 	 pixels	 333.2088 	 microns
89 	 885.3627 	 pixels	 1150.9727 	 microns
90 	 371.5492 	 pixels	 483.0145 	 microns
91 	 524.3589 	 pixels	 681.6672 	 microns
92 	 166.1784 	 pixels	 216.0322 	 microns
93 	 242.1488 	 pixels	 314.7937 	 microns
94 	 857.7549 	 pixels	 1115.0825 	 microns
95 	 351.544 	 pixels	 457.0076 	 microns
96 	 220.7188 	 pixels	 286.9348 	 microns
97 	 439.7497 	 pixels	 571.6752 	 microns
98 	 284.4554 	 pixels	 369.7923 	 microns
99 	 338.4397 	 pixels	 439.972 	 microns
100 	 377.704 	 pixels	 491.0157 	 microns
101 	 205.2028 	 pixels	 266.7639 	 microns
102 	 466.586 	 pixels	 606.5624 	 microns
103 	 191.7598 	 pixels	 249.2879 	 microns
104 	 590.218 	 pixels	 767.2841 	 microns
105 	 282.7903 	 pixels	 367.6277 	 microns
106 	 237.9502 	 pixels	 309.3356 	 microns
107 	 160.773 	 pixels	 209.0051 	 microns
108 	 513.1137 	 pixels	 667.0484 	 microns
109 	 439.4365 	 pixels	 571.2681 	 microns
110 	 464.3171 	 pixels	 603.6129 	 microns
111 	 616.5232 	 pixels	 801.481 	 microns
112 	 376.8606 	 pixels	 489.9193 	 microns
113 	 280.2565 	 pixels	 364.3339 	 microns
114 	 139.4164 	 pixels	 181.2415 	 microns
115 	 429.373 	 pixels	 558.1855 	 microns
116 	 856.4045 	 pixels	 1113.327 	 microns
117 	 396.1662 	 pixels	 515.0166 	 microns
118 	 536.1371 	 pixels	 696.9789 	 microns
119 	 278.3264 	 pixels	 361.8247 	 microns
120 	 153.1478 	 pixels	 199.0923 	 microns
121 	 131.911 	 pixels	 171.4844 	 microns
122 	 202.5723 	 pixels	 263.3443 	 microns
123 	 268.7945 	 pixels	 349.4332 	 microns
124 	 443.25 	 pixels	 576.2256 	 microns
125 	 466.1761 	 pixels	 606.0296 	 microns
126 	 169.4409 	 pixels	 220.2734 	 microns
127 	 147.8632 	 pixels	 192.2224 	 microns
128 	 891.1329 	 pixels	 1158.4739 	 microns
129 	 416.7766 	 pixels	 541.8101 	 microns
130 	 877.353 	 pixels	 1140.56 	 microns
131 	 457.3196 	 pixels	 594.5161 	 microns
132 	 304.2447 	 pixels	 395.5185 	 microns
133 	 132.684 	 pixels	 172.4893 	 microns
134 	 430.8462 	 pixels	 560.1006 	 microns
135 	 380.0225 	 pixels	 494.0297 	 microns
136 	 361.1995 	 pixels	 469.5598 	 microns
137 	 260.83 	 pixels	 339.0793 	 microns
138 	 204.0948 	 pixels	 265.3236 	 microns
139 	 251.4918 	 pixels	 326.9396 	 microns
140 	 284.7699 	 pixels	 370.2012 	 microns
141 	 496.3437 	 pixels	 645.2474 	 microns
142 	 154.4284 	 pixels	 200.7571 	 microns
143 	 465.0913 	 pixels	 604.6193 	 microns
144 	 165.1926 	 pixels	 214.7506 	 microns
145 	 143.5448 	 pixels	 186.6084 	 microns
146 	 408.4277 	 pixels	 530.9565 	 microns
147 	 201.3672 	 pixels	 261.7776 	 microns
148 	 539.9277 	 pixels	 701.9068 	 microns
149 	 285.2063 	 pixels	 370.7685 	 microns
150 	 871.9001 	 pixels	 1133.4713 	 microns
151 	 427.6622 	 pixels	 555.9614 	 microns
152 	 373.073 	 pixels	 484.9954 	 microns
153 	 187.3961 	 pixels	 243.6152 	 microns
154 	 491.4696 	 pixels	 638.9111 	 microns
155 	 455.7041 	 pixels	 592.4159 	 microns
156 	 359.7038 	 pixels	 467.6153 	 microns
157 	 249.0546 	 pixels	 323.7713 	 microns
158 	 647.8507 	 pixels	 842.2067 	 microns
159 	 149.9647 	 pixels	 194.9543 	 microns
160 	 376.5968 	 pixels	 489.5763 	 microns
161 	 297.5379 	 pixels	 386.7997 	 microns
162 	 603.8329 	 pixels	 784.9835 	 microns
163 	 334.3887 	 pixels	 434.7058 	 microns
164 	 187.5644 	 pixels	 243.8339 	 microns
165 	 411.3003 	 pixels	 534.6909 	 microns
166 	 393.7559 	 pixels	 511.8831 	 microns
167 	 523.0356 	 pixels	 679.947 	 microns
168 	 590.6084 	 pixels	 767.7917 	 microns
169 	 160.2219 	 pixels	 208.2886 	 microns
170 	 265.3691 	 pixels	 344.9801 	 microns
171 	 141.4709 	 pixels	 183.9123 	 microns
172 	 453.3411 	 pixels	 589.344 	 microns
173 	 342.6186 	 pixels	 445.4046 	 microns
174 	 188.2665 	 pixels	 244.7467 	 microns
175 	 315.6623 	 pixels	 410.3614 	 microns
176 	 209.0446 	 pixels	 271.7583 	 microns
177 	 614.0898 	 pixels	 798.3175 	 microns
178 	 404.5444 	 pixels	 525.9083 	 microns
179 	 109.9547 	 pixels	 142.9412 	 microns
180 	 433.1173 	 pixels	 563.0531 	 microns
181 	 528.9251 	 pixels	 687.6033 	 microns
182 	 859.0148 	 pixels	 1116.7203 	 microns
183 	 500.4248 	 pixels	 650.5529 	 microns
184 	 542.1748 	 pixels	 704.8279 	 microns
185 	 593.6739 	 pixels	 771.7768 	 microns
186 	 434.0114 	 pixels	 564.2154 	 microns
187 	 377.8773 	 pixels	 491.241 	 microns
188 	 275.2901 	 pixels	 357.8775 	 microns
189 	 459.157 	 pixels	 596.9047 	 microns
190 	 469.8484 	 pixels	 610.8036 	 microns
191 	 328.0679 	 pixels	 426.4887 	 microns
192 	 185.9486 	 pixels	 241.7335 	 microns
193 	 341.9197 	 pixels	 444.496 	 microns
194 	 298.3597 	 pixels	 387.868 	 microns
195 	 556.5819 	 pixels	 723.5572 	 microns
196 	 409.7579 	 pixels	 532.6858 	 microns
197 	 390.9334 	 pixels	 508.214 	 microns
198 	 634.4349 	 pixels	 824.7662 	 microns
199 	 274.711 	 pixels	 357.1247 	 microns
200 	 142.0754 	 pixels	 184.6983 	 microns
201 	 258.1797 	 pixels	 335.634 	 microns
202 	 204.5322 	 pixels	 265.8921 	 microns
203 	 433.5771 	 pixels	 563.6508 	 microns
204 	 406.2832 	 pixels	 528.1687 	 microns
205 	 347.3262 	 pixels	 451.5246 	 microns
206 	 544.371 	 pixels	 707.683 	 microns
207 	 385.0466 	 pixels	 500.5611 	 microns
208 	 231.9723 	 pixels	 301.5643 	 microns
209 	 585.2526 	 pixels	 760.8292 	 microns
210 	 311.3682 	 pixels	 404.779 	 microns
211 	 447.575 	 pixels	 581.8481 	 microns
212 	 171.8076 	 pixels	 223.35 	 microns
213 	 520.7216 	 pixels	 676.9387 	 microns
214 	 477.4267 	 pixels	 620.6553 	 microns
215 	 362.9404 	 pixels	 471.823 	 microns
216 	 256.5873 	 pixels	 333.5638 	 microns
217 	 500.0879 	 pixels	 650.115 	 microns
218 	 302.7779 	 pixels	 393.6117 	 microns
219 	 434.8814 	 pixels	 565.3464 	 microns
220 	 418.0118 	 pixels	 543.4158 	 microns
221 	 465.4088 	 pixels	 605.0321 	 microns
222 	 860.4405 	 pixels	 1118.5737 	 microns
223 	 355.0249 	 pixels	 461.5329 	 microns
224 	 339.3633 	 pixels	 441.1727 	 microns
225 	 232.0694 	 pixels	 301.6905 	 microns
226 	 313.6854 	 pixels	 407.7914 	 microns
227 	 205.5218 	 pixels	 267.1786 	 microns
228 	 447.7438 	 pixels	 582.0676 	 microns
229 	 823.3485 	 pixels	 1070.3541 	 microns
230 	 386.6402 	 pixels	 502.6328 	 microns
231 	 270.2706 	 pixels	 351.3521 	 microns
232 	 611.3172 	 pixels	 794.7131 	 microns
233 	 316.1232 	 pixels	 410.9606 	 microns
234 	 249.2994 	 pixels	 324.0895 	 microns
235 	 412.4618 	 pixels	 536.2009 	 microns
236 	 537.036 	 pixels	 698.1475 	 microns
237 	 573.139 	 pixels	 745.0815 	 microns
238 	 485.3433 	 pixels	 630.9469 	 microns
239 	 430.8282 	 pixels	 560.0773 	 microns
240 	 380.004 	 pixels	 494.0056 	 microns
241 	 363.0625 	 pixels	 471.9817 	 microns
242 	 347.1344 	 pixels	 451.2752 	 microns
243 	 307.34 	 pixels	 399.5424 	 microns
244 	 859.8864 	 pixels	 1117.8534 	 microns
245 	 496.5896 	 pixels	 645.5671 	 microns
246 	 326.2367 	 pixels	 424.1081 	 microns
247 	 341.7048 	 pixels	 444.2167 	 microns
248 	 480.3975 	 pixels	 624.5173 	 microns
249 	 533.4416 	 pixels	 693.4748 	 microns
250 	 375.9979 	 pixels	 488.7978 	 microns
251 	 315.1594 	 pixels	 409.7076 	 microns
252 	 365.3795 	 pixels	 474.9939 	 microns
253 	 399.07 	 pixels	 518.7915 	 microns
254 	 439.6127 	 pixels	 571.4971 	 microns
255 	 594.3051 	 pixels	 772.5975 	 microns
256 	 415.4802 	 pixels	 540.1249 	 microns
257 	 382.8761 	 pixels	 497.7394 	 microns
258 	 514.3772 	 pixels	 668.691 	 microns
259 	 464.8316 	 pixels	 604.2817 	 microns
260 	 543.3601 	 pixels	 706.3688 	 microns
261 	 492.5362 	 pixels	 640.2977 	 microns
262 	 597.4184 	 pixels	 776.6447 	 microns
263 	 495.5776 	 pixels	 644.2515 	 microns
264 	 577.5328 	 pixels	 750.7933 	 microns
265 	 661.0328 	 pixels	 859.3435 	 microns
266 	 849.3418 	 pixels	 1104.1455 	 microns
267 	 506.752 	 pixels	 658.7783 	 microns
268 	 542.0579 	 pixels	 704.6759 	 microns
269 	 865.9698 	 pixels	 1125.7619 	 microns
270 	 665.2324 	 pixels	 864.803 	 microns
271 	 672.3043 	 pixels	 873.9965 	 microns
272 	 778.682 	 pixels	 1012.2876 	 microns
273 	 855.5936 	 pixels	 1112.2728 	 microns
274 	 758.6523 	 pixels	 986.249 	 microns
275 	 785.1021 	 pixels	 1020.6338 	 microns
276 	 845.5554 	 pixels	 1099.2231 	 microns
277 	 800.5234 	 pixels	 1040.6815 	 microns
278 	 842.3706 	 pixels	 1095.0829 	 microns
