selection#  	  units 	 distance 	 units
2 	 340.9441 	 pixels	 443.2278 	 microns
3 	 261.2875 	 pixels	 339.674 	 microns
4 	 245.57 	 pixels	 319.2414 	 microns
5 	 295.9867 	 pixels	 384.7831 	 microns
6 	 809.8038 	 pixels	 1052.7459 	 microns
7 	 790.2919 	 pixels	 1027.3805 	 microns
8 	 453.1951 	 pixels	 589.1542 	 microns
9 	 171.9064 	 pixels	 223.4786 	 microns
10 	 220.7337 	 pixels	 286.9542 	 microns
11 	 103.7267 	 pixels	 134.8449 	 microns
12 	 573.6437 	 pixels	 745.7376 	 microns
13 	 193.7295 	 pixels	 251.8487 	 microns
14 	 544.4025 	 pixels	 707.7239 	 microns
15 	 447.4019 	 pixels	 581.623 	 microns
16 	 327.0907 	 pixels	 425.2184 	 microns
17 	 297.2871 	 pixels	 386.4736 	 microns
18 	 243.0872 	 pixels	 316.0137 	 microns
19 	 221.4287 	 pixels	 287.8576 	 microns
20 	 274.05 	 pixels	 356.2654 	 microns
21 	 257.8123 	 pixels	 335.1564 	 microns
22 	 192.2272 	 pixels	 249.8956 	 microns
23 	 393.8617 	 pixels	 512.0207 	 microns
24 	 322.8657 	 pixels	 419.7258 	 microns
25 	 474.6446 	 pixels	 617.0387 	 microns
26 	 422.0877 	 pixels	 548.7145 	 microns
27 	 399.8665 	 pixels	 519.8269 	 microns
28 	 624.8234 	 pixels	 812.2713 	 microns
29 	 272.0255 	 pixels	 353.6334 	 microns
30 	 118.6485 	 pixels	 154.2433 	 microns
31 	 369.5939 	 pixels	 480.4725 	 microns
32 	 169.6096 	 pixels	 220.4927 	 microns
33 	 334.9326 	 pixels	 435.4128 	 microns
34 	 281.823 	 pixels	 366.3703 	 microns
35 	 308.3908 	 pixels	 400.9084 	 microns
36 	 230.8879 	 pixels	 300.1546 	 microns
37 	 465.0366 	 pixels	 604.5482 	 microns
38 	 263.4215 	 pixels	 342.4482 	 microns
39 	 209.2283 	 pixels	 271.997 	 microns
40 	 446.6413 	 pixels	 580.6343 	 microns
41 	 244.4834 	 pixels	 317.8288 	 microns
42 	 418.4995 	 pixels	 544.0499 	 microns
43 	 219.0469 	 pixels	 284.7612 	 microns
44 	 706.8705 	 pixels	 918.9326 	 microns
45 	 249.4463 	 pixels	 324.2805 	 microns
46 	 768.684 	 pixels	 999.2902 	 microns
47 	 468.4213 	 pixels	 608.9483 	 microns
48 	 793.6314 	 pixels	 1031.7218 	 microns
49 	 207.7397 	 pixels	 270.0618 	 microns
