selection#  	  units 	 distance 	 units
2 	 197.5076 	 pixels	 256.7601 	 microns
3 	 154.9974 	 pixels	 201.4968 	 microns
4 	 253.7582 	 pixels	 329.886 	 microns
5 	 146.6812 	 pixels	 190.6858 	 microns
6 	 163.7199 	 pixels	 212.8361 	 microns
7 	 95.6164 	 pixels	 124.3015 	 microns
8 	 203.9101 	 pixels	 265.0834 	 microns
9 	 144.9963 	 pixels	 188.4954 	 microns
10 	 233.9907 	 pixels	 304.1882 	 microns
11 	 230.4393 	 pixels	 299.5714 	 microns
12 	 137.9268 	 pixels	 179.305 	 microns
13 	 422.6341 	 pixels	 549.4248 	 microns
14 	 106.2079 	 pixels	 138.0704 	 microns
15 	 267.4213 	 pixels	 347.6481 	 microns
16 	 188.2256 	 pixels	 244.6935 	 microns
17 	 247.4336 	 pixels	 321.664 	 microns
18 	 236.9659 	 pixels	 308.056 	 microns
19 	 132.4422 	 pixels	 172.1751 	 microns
20 	 212.5716 	 pixels	 276.3433 	 microns
21 	 351.5856 	 pixels	 457.0618 	 microns
22 	 178.9573 	 pixels	 232.6447 	 microns
23 	 156.1341 	 pixels	 202.9745 	 microns
24 	 437.3863 	 pixels	 568.6028 	 microns
25 	 487.11 	 pixels	 633.2436 	 microns
26 	 202.9913 	 pixels	 263.889 	 microns
27 	 79.1044 	 pixels	 102.8358 	 microns
28 	 332.1756 	 pixels	 431.8288 	 microns
29 	 433.1801 	 pixels	 563.1347 	 microns
30 	 195.9353 	 pixels	 254.7162 	 microns
31 	 363.7832 	 pixels	 472.9186 	 microns
32 	 128.1115 	 pixels	 166.5451 	 microns
33 	 541.1323 	 pixels	 703.4728 	 microns
34 	 139.4813 	 pixels	 181.3258 	 microns
35 	 218.0233 	 pixels	 283.4306 	 microns
36 	 179.0664 	 pixels	 232.7865 	 microns
37 	 546.7558 	 pixels	 710.7833 	 microns
38 	 364.3118 	 pixels	 473.6059 	 microns
39 	 387.4296 	 pixels	 503.659 	 microns
40 	 245.2077 	 pixels	 318.7703 	 microns
41 	 205.61 	 pixels	 267.2933 	 microns
42 	 179.0018 	 pixels	 232.7025 	 microns
43 	 227.7759 	 pixels	 296.109 	 microns
44 	 215.4231 	 pixels	 280.0503 	 microns
45 	 191.6506 	 pixels	 249.146 	 microns
46 	 136.5249 	 pixels	 177.4826 	 microns
47 	 423.4753 	 pixels	 550.5184 	 microns
48 	 475.4115 	 pixels	 618.0356 	 microns
49 	 353.1276 	 pixels	 459.0663 	 microns
50 	 234.3487 	 pixels	 304.6536 	 microns
51 	 331.5685 	 pixels	 431.0395 	 microns
52 	 423.4135 	 pixels	 550.4381 	 microns
53 	 278.978 	 pixels	 362.6718 	 microns
54 	 493.715 	 pixels	 641.8301 	 microns
55 	 392.6629 	 pixels	 510.4623 	 microns
56 	 249.8032 	 pixels	 324.7445 	 microns
57 	 481.0187 	 pixels	 625.3249 	 microns
58 	 169.0174 	 pixels	 219.7228 	 microns
59 	 189.2851 	 pixels	 246.0709 	 microns
60 	 227.6039 	 pixels	 295.8853 	 microns
61 	 463.5725 	 pixels	 602.6449 	 microns
62 	 436.9654 	 pixels	 568.0556 	 microns
63 	 257.6696 	 pixels	 334.9709 	 microns
64 	 329.2471 	 pixels	 428.0217 	 microns
65 	 230.7344 	 pixels	 299.9551 	 microns
66 	 383.0839 	 pixels	 498.0096 	 microns
67 	 162.9411 	 pixels	 211.8237 	 microns
68 	 522.751 	 pixels	 679.5769 	 microns
69 	 544.9177 	 pixels	 708.3938 	 microns
70 	 272.8255 	 pixels	 354.6736 	 microns
71 	 487.5612 	 pixels	 633.8302 	 microns
72 	 438.4613 	 pixels	 570.0003 	 microns
73 	 207.8666 	 pixels	 270.2268 	 microns
74 	 119.4991 	 pixels	 155.349 	 microns
75 	 332.3312 	 pixels	 432.0311 	 microns
76 	 525.8517 	 pixels	 683.608 	 microns
77 	 296.8455 	 pixels	 385.8995 	 microns
78 	 575.8862 	 pixels	 748.6528 	 microns
79 	 280.0234 	 pixels	 364.0308 	 microns
80 	 205.5774 	 pixels	 267.2509 	 microns
81 	 234.7067 	 pixels	 305.119 	 microns
82 	 116.8801 	 pixels	 151.9443 	 microns
83 	 326.2416 	 pixels	 424.1145 	 microns
84 	 168.814 	 pixels	 219.4584 	 microns
85 	 828.5847 	 pixels	 1077.1612 	 microns
86 	 367.7235 	 pixels	 478.041 	 microns
87 	 149.1725 	 pixels	 193.9244 	 microns
88 	 537.7996 	 pixels	 699.1402 	 microns
89 	 477.9347 	 pixels	 621.3157 	 microns
90 	 402.8669 	 pixels	 523.7275 	 microns
91 	 249.88 	 pixels	 324.8444 	 microns
92 	 345.2147 	 pixels	 448.7796 	 microns
93 	 139.3127 	 pixels	 181.1066 	 microns
94 	 565.3243 	 pixels	 734.9224 	 microns
95 	 379.064 	 pixels	 492.7837 	 microns
