selection#  	  units 	 distance 	 units
2 	 128.0118 	 pixels	 166.4155 	 microns
3 	 116.4891 	 pixels	 151.436 	 microns
4 	 176.833 	 pixels	 229.8831 	 microns
5 	 191.3598 	 pixels	 248.768 	 microns
6 	 142.1874 	 pixels	 184.8438 	 microns
7 	 110.341 	 pixels	 143.4434 	 microns
8 	 92.7409 	 pixels	 120.5632 	 microns
9 	 157.4828 	 pixels	 204.7279 	 microns
10 	 159.5093 	 pixels	 207.3623 	 microns
11 	 118.0909 	 pixels	 153.5183 	 microns
12 	 228.6532 	 pixels	 297.2494 	 microns
13 	 112.7791 	 pixels	 146.613 	 microns
14 	 128.0748 	 pixels	 166.4974 	 microns
15 	 181.5065 	 pixels	 235.9587 	 microns
16 	 100.415 	 pixels	 130.5396 	 microns
17 	 115.5039 	 pixels	 150.1552 	 microns
18 	 156.0112 	 pixels	 202.8147 	 microns
19 	 138.6225 	 pixels	 180.2094 	 microns
20 	 197.5 	 pixels	 256.7502 	 microns
21 	 129.4694 	 pixels	 168.3104 	 microns
22 	 283.4094 	 pixels	 368.4326 	 microns
23 	 365.7552 	 pixels	 475.4822 	 microns
24 	 111.5219 	 pixels	 144.9787 	 microns
25 	 99.2269 	 pixels	 128.995 	 microns
26 	 182.5522 	 pixels	 237.3181 	 microns
27 	 75.9686 	 pixels	 98.7593 	 microns
28 	 417.859 	 pixels	 543.2173 	 microns
29 	 307.573 	 pixels	 399.8453 	 microns
30 	 139.2458 	 pixels	 181.0197 	 microns
31 	 96.4311 	 pixels	 125.3606 	 microns
32 	 444.1899 	 pixels	 577.4475 	 microns
33 	 153.7754 	 pixels	 199.9082 	 microns
34 	 205.8766 	 pixels	 267.6398 	 microns
35 	 121.7831 	 pixels	 158.3181 	 microns
36 	 193.5851 	 pixels	 251.6609 	 microns
37 	 171.5127 	 pixels	 222.9667 	 microns
38 	 238.633 	 pixels	 310.2233 	 microns
39 	 134.9835 	 pixels	 175.4787 	 microns
40 	 428.542 	 pixels	 557.1052 	 microns
41 	 328.8028 	 pixels	 427.444 	 microns
42 	 306.3137 	 pixels	 398.2082 	 microns
43 	 118.5731 	 pixels	 154.1452 	 microns
44 	 397.4605 	 pixels	 516.6991 	 microns
