selection#  	  units 	 distance 	 units
2 	 81.3562 	 pixels	 105.763 	 microns
3 	 72.4146 	 pixels	 94.139 	 microns
4 	 91.2105 	 pixels	 118.5736 	 microns
5 	 109.6037 	 pixels	 142.4848 	 microns
6 	 62.6623 	 pixels	 81.4609 	 microns
7 	 75.6085 	 pixels	 98.2911 	 microns
8 	 89.4159 	 pixels	 116.2406 	 microns
9 	 101.0262 	 pixels	 131.334 	 microns
10 	 313.9414 	 pixels	 408.1238 	 microns
11 	 82.8732 	 pixels	 107.7351 	 microns
12 	 365.4419 	 pixels	 475.0744 	 microns
13 	 355.2074 	 pixels	 461.7696 	 microns
14 	 326.5419 	 pixels	 424.5044 	 microns
15 	 370.1918 	 pixels	 481.2493 	 microns
16 	 290.1511 	 pixels	 377.1964 	 microns
17 	 318.1524 	 pixels	 413.5982 	 microns
18 	 399.569 	 pixels	 519.4397 	 microns
19 	 436.2784 	 pixels	 567.1619 	 microns
20 	 91.872 	 pixels	 119.4336 	 microns
21 	 358.2369 	 pixels	 465.7079 	 microns
22 	 124.268 	 pixels	 161.5484 	 microns
23 	 398.8279 	 pixels	 518.4763 	 microns
24 	 383.5345 	 pixels	 498.5948 	 microns
25 	 318.8282 	 pixels	 414.4766 	 microns
26 	 137.6826 	 pixels	 178.9873 	 microns
27 	 298.3965 	 pixels	 387.9154 	 microns
28 	 449.5801 	 pixels	 584.4541 	 microns
29 	 417.2267 	 pixels	 542.3947 	 microns
30 	 358.5591 	 pixels	 466.1269 	 microns
31 	 424.4843 	 pixels	 551.8295 	 microns
32 	 503.9784 	 pixels	 655.1719 	 microns
33 	 100.0388 	 pixels	 130.0504 	 microns
34 	 407.5438 	 pixels	 529.8069 	 microns
35 	 451.3503 	 pixels	 586.7553 	 microns
36 	 330.6389 	 pixels	 429.8306 	 microns
37 	 440.0163 	 pixels	 572.0212 	 microns
38 	 490.2165 	 pixels	 637.2814 	 microns
39 	 139.9255 	 pixels	 181.9032 	 microns
40 	 404.1347 	 pixels	 525.3752 	 microns
41 	 430.0577 	 pixels	 559.075 	 microns
42 	 539.5146 	 pixels	 701.3689 	 microns
43 	 458.2167 	 pixels	 595.6817 	 microns
44 	 236.6771 	 pixels	 307.6803 	 microns
45 	 517.9469 	 pixels	 673.331 	 microns
46 	 362.2135 	 pixels	 470.8776 	 microns
47 	 476.8489 	 pixels	 619.9035 	 microns
48 	 347.0402 	 pixels	 451.1523 	 microns
49 	 510.8903 	 pixels	 664.1574 	 microns
50 	 329.8228 	 pixels	 428.7697 	 microns
51 	 184.5218 	 pixels	 239.8783 	 microns
52 	 448.575 	 pixels	 583.1475 	 microns
53 	 472.341 	 pixels	 614.0433 	 microns
54 	 420.8494 	 pixels	 547.1042 	 microns
55 	 434.1831 	 pixels	 564.438 	 microns
56 	 407.9472 	 pixels	 530.3314 	 microns
57 	 443.6348 	 pixels	 576.7252 	 microns
58 	 524.8958 	 pixels	 682.3645 	 microns
59 	 364.6928 	 pixels	 474.1007 	 microns
60 	 407.5967 	 pixels	 529.8757 	 microns
61 	 436.5009 	 pixels	 567.4512 	 microns
62 	 614.1181 	 pixels	 798.3535 	 microns
63 	 538.7816 	 pixels	 700.4161 	 microns
64 	 367.5204 	 pixels	 477.7765 	 microns
65 	 406.111 	 pixels	 527.9443 	 microns
66 	 444.0341 	 pixels	 577.2443 	 microns
67 	 393.3655 	 pixels	 511.3751 	 microns
68 	 337.3237 	 pixels	 438.5208 	 microns
69 	 366.6596 	 pixels	 476.6575 	 microns
70 	 487.8045 	 pixels	 634.1458 	 microns
71 	 535.3364 	 pixels	 695.9373 	 microns
72 	 482.2752 	 pixels	 626.9578 	 microns
73 	 447.2539 	 pixels	 581.43 	 microns
74 	 391.2123 	 pixels	 508.576 	 microns
75 	 447.2951 	 pixels	 581.4837 	 microns
76 	 316.819 	 pixels	 411.8647 	 microns
77 	 256.4635 	 pixels	 333.4025 	 microns
78 	 345.8 	 pixels	 449.54 	 microns
79 	 522.1621 	 pixels	 678.8108 	 microns
80 	 434.1583 	 pixels	 564.4057 	 microns
81 	 542.0463 	 pixels	 704.6602 	 microns
82 	 435.7677 	 pixels	 566.498 	 microns
83 	 519.8119 	 pixels	 675.7554 	 microns
84 	 459.4561 	 pixels	 597.2929 	 microns
85 	 370.0401 	 pixels	 481.0522 	 microns
86 	 260.5057 	 pixels	 338.6574 	 microns
87 	 542.7543 	 pixels	 705.5806 	 microns
88 	 513.6163 	 pixels	 667.7012 	 microns
89 	 477.771 	 pixels	 621.1024 	 microns
90 	 491.4592 	 pixels	 638.897 	 microns
91 	 503.3037 	 pixels	 654.2948 	 microns
92 	 456.8703 	 pixels	 593.9314 	 microns
93 	 543.2276 	 pixels	 706.1959 	 microns
94 	 353.9636 	 pixels	 460.1527 	 microns
95 	 330.0415 	 pixels	 429.054 	 microns
96 	 516.9131 	 pixels	 671.9871 	 microns
97 	 287.3349 	 pixels	 373.5354 	 microns
98 	 527.9343 	 pixels	 686.3146 	 microns
99 	 476.4413 	 pixels	 619.3737 	 microns
100 	 503.8549 	 pixels	 655.0114 	 microns
101 	 495.5808 	 pixels	 644.255 	 microns
102 	 452.7164 	 pixels	 588.5313 	 microns
103 	 552.1732 	 pixels	 717.8251 	 microns
104 	 339.0656 	 pixels	 440.7853 	 microns
105 	 404.481 	 pixels	 525.8253 	 microns
106 	 382.7162 	 pixels	 497.531 	 microns
107 	 366.9108 	 pixels	 476.984 	 microns
108 	 460.4851 	 pixels	 598.6306 	 microns
109 	 516.9586 	 pixels	 672.0462 	 microns
