selection#  	  units 	 distance 	 units
2 	 131.3263 	 pixels	 170.7244 	 microns
3 	 190.356 	 pixels	 247.463 	 microns
4 	 324.7208 	 pixels	 422.1374 	 microns
5 	 181.2787 	 pixels	 235.6626 	 microns
6 	 258.5715 	 pixels	 336.1432 	 microns
7 	 273.9341 	 pixels	 356.1147 	 microns
8 	 394.7409 	 pixels	 513.1636 	 microns
9 	 711.7977 	 pixels	 925.3379 	 microns
10 	 684.1973 	 pixels	 889.4573 	 microns
11 	 138.4974 	 pixels	 180.0468 	 microns
12 	 479.4501 	 pixels	 623.2858 	 microns
13 	 153.2925 	 pixels	 199.2805 	 microns
14 	 204.1998 	 pixels	 265.46 	 microns
15 	 490.6176 	 pixels	 637.8035 	 microns
16 	 426.2547 	 pixels	 554.1316 	 microns
17 	 216.6025 	 pixels	 281.5836 	 microns
18 	 374.8285 	 pixels	 487.2775 	 microns
19 	 288.3839 	 pixels	 374.8994 	 microns
20 	 164.5208 	 pixels	 213.8773 	 microns
21 	 208.6845 	 pixels	 271.2901 	 microns
22 	 447.2757 	 pixels	 581.459 	 microns
23 	 352.8945 	 pixels	 458.7633 	 microns
24 	 180.0134 	 pixels	 234.0177 	 microns
25 	 126.0482 	 pixels	 163.8629 	 microns
26 	 433.882 	 pixels	 564.0472 	 microns
27 	 263.4187 	 pixels	 342.4447 	 microns
28 	 689.5811 	 pixels	 896.4563 	 microns
29 	 415.6101 	 pixels	 540.2936 	 microns
30 	 397.8285 	 pixels	 517.1775 	 microns
31 	 279.4923 	 pixels	 363.3403 	 microns
32 	 535.1993 	 pixels	 695.7597 	 microns
33 	 316.3061 	 pixels	 411.1984 	 microns
34 	 293.698 	 pixels	 381.8077 	 microns
35 	 262.4447 	 pixels	 341.1785 	 microns
36 	 195.614 	 pixels	 254.2985 	 microns
37 	 351.9815 	 pixels	 457.5764 	 microns
38 	 173.5567 	 pixels	 225.6239 	 microns
39 	 332.4051 	 pixels	 432.1271 	 microns
