selection#  	  units 	 distance 	 units
2 	 165.6265 	 pixels	 215.3146 	 microns
3 	 144.825 	 pixels	 188.2728 	 microns
4 	 102.2369 	 pixels	 132.9082 	 microns
5 	 65.5816 	 pixels	 85.2561 	 microns
6 	 239.3948 	 pixels	 311.2135 	 microns
7 	 170.6187 	 pixels	 221.8045 	 microns
8 	 192.201 	 pixels	 249.8615 	 microns
9 	 101.5721 	 pixels	 132.0438 	 microns
10 	 90.8959 	 pixels	 118.1648 	 microns
11 	 273.8515 	 pixels	 356.0073 	 microns
12 	 94.0529 	 pixels	 122.2688 	 microns
13 	 76.3212 	 pixels	 99.2177 	 microns
14 	 218.2808 	 pixels	 283.7653 	 microns
15 	 160.0499 	 pixels	 208.0651 	 microns
16 	 268.4227 	 pixels	 348.9499 	 microns
17 	 147.2032 	 pixels	 191.3644 	 microns
18 	 299.9156 	 pixels	 389.8906 	 microns
19 	 198.8813 	 pixels	 258.5459 	 microns
20 	 381.2058 	 pixels	 495.568 	 microns
21 	 53.7221 	 pixels	 69.8388 	 microns
22 	 369.6848 	 pixels	 480.5908 	 microns
23 	 426.8053 	 pixels	 554.8474 	 microns
24 	 72.9232 	 pixels	 94.8003 	 microns
25 	 287.4331 	 pixels	 373.6635 	 microns
26 	 126.1356 	 pixels	 163.9765 	 microns
27 	 163.9902 	 pixels	 213.1875 	 microns
28 	 195.4834 	 pixels	 254.1287 	 microns
29 	 380.665 	 pixels	 494.865 	 microns
30 	 528.6996 	 pixels	 687.3102 	 microns
31 	 344.781 	 pixels	 448.2158 	 microns
32 	 306.3088 	 pixels	 398.2018 	 microns
33 	 87.544 	 pixels	 113.8074 	 microns
34 	 518.0966 	 pixels	 673.5263 	 microns
35 	 538.8364 	 pixels	 700.4881 	 microns
36 	 367.7612 	 pixels	 478.09 	 microns
37 	 468.8722 	 pixels	 609.5345 	 microns
38 	 553.2296 	 pixels	 719.1992 	 microns
39 	 126.0297 	 pixels	 163.8387 	 microns
40 	 432.6421 	 pixels	 562.4353 	 microns
41 	 317.4987 	 pixels	 412.7487 	 microns
42 	 426.2199 	 pixels	 554.0864 	 microns
43 	 345.0815 	 pixels	 448.6065 	 microns
44 	 79.4708 	 pixels	 103.3121 	 microns
45 	 278.1266 	 pixels	 361.5649 	 microns
46 	 110.9634 	 pixels	 144.2526 	 microns
47 	 66.416 	 pixels	 86.3409 	 microns
48 	 167.313 	 pixels	 217.5072 	 microns
49 	 331.7566 	 pixels	 431.284 	 microns
50 	 191.1981 	 pixels	 248.5578 	 microns
51 	 536.491 	 pixels	 697.4391 	 microns
52 	 462.1953 	 pixels	 600.8545 	 microns
53 	 559.6826 	 pixels	 727.5882 	 microns
54 	 510.8039 	 pixels	 664.0458 	 microns
55 	 375.8981 	 pixels	 488.668 	 microns
56 	 318.2219 	 pixels	 413.6889 	 microns
57 	 305.5129 	 pixels	 397.1672 	 microns
58 	 155.9437 	 pixels	 202.727 	 microns
59 	 203.1532 	 pixels	 264.0995 	 microns
60 	 187.5143 	 pixels	 243.7688 	 microns
61 	 298.0534 	 pixels	 387.4698 	 microns
62 	 51.7076 	 pixels	 67.2199 	 microns
63 	 580.0162 	 pixels	 754.0218 	 microns
64 	 526.6713 	 pixels	 684.6733 	 microns
65 	 326.6889 	 pixels	 424.6961 	 microns
66 	 147.0255 	 pixels	 191.1333 	 microns
67 	 264.5452 	 pixels	 343.9091 	 microns
68 	 80.9721 	 pixels	 105.2638 	 microns
69 	 594.2747 	 pixels	 772.5578 	 microns
70 	 471.5212 	 pixels	 612.9782 	 microns
71 	 362.0334 	 pixels	 470.6438 	 microns
72 	 138.17 	 pixels	 179.6212 	 microns
73 	 166.7277 	 pixels	 216.7462 	 microns
