selection#  	  units 	 distance 	 units
2 	 157.4829 	 pixels	 204.7279 	 microns
3 	 238.69 	 pixels	 310.2973 	 microns
4 	 290.3863 	 pixels	 377.5025 	 microns
5 	 121.1454 	 pixels	 157.4892 	 microns
6 	 95.271 	 pixels	 123.8524 	 microns
7 	 304.7077 	 pixels	 396.1204 	 microns
8 	 110.712 	 pixels	 143.9258 	 microns
9 	 344.1184 	 pixels	 447.3544 	 microns
10 	 198.0456 	 pixels	 257.4595 	 microns
11 	 139.624 	 pixels	 181.5113 	 microns
12 	 322.6519 	 pixels	 419.4479 	 microns
13 	 395.7805 	 pixels	 514.5152 	 microns
14 	 340.6971 	 pixels	 442.9067 	 microns
15 	 334.2193 	 pixels	 434.4856 	 microns
16 	 356.1863 	 pixels	 463.0427 	 microns
17 	 355.3025 	 pixels	 461.8937 	 microns
18 	 440.6657 	 pixels	 572.8659 	 microns
19 	 391.624 	 pixels	 509.1117 	 microns
20 	 339.0435 	 pixels	 440.757 	 microns
21 	 413.0404 	 pixels	 536.953 	 microns
22 	 378.8216 	 pixels	 492.4686 	 microns
23 	 332.8506 	 pixels	 432.7062 	 microns
24 	 316.1599 	 pixels	 411.0083 	 microns
25 	 276.9155 	 pixels	 359.9905 	 microns
26 	 343.6671 	 pixels	 446.7677 	 microns
27 	 369.757 	 pixels	 480.6846 	 microns
28 	 246.7371 	 pixels	 320.7585 	 microns
29 	 542.4545 	 pixels	 705.1916 	 microns
30 	 513.7941 	 pixels	 667.933 	 microns
31 	 463.4345 	 pixels	 602.4654 	 microns
32 	 420.301 	 pixels	 546.3919 	 microns
33 	 479.8261 	 pixels	 623.7746 	 microns
34 	 370.1745 	 pixels	 481.2273 	 microns
35 	 352.08 	 pixels	 457.7044 	 microns
36 	 567.1259 	 pixels	 737.2644 	 microns
37 	 488.9233 	 pixels	 635.6009 	 microns
38 	 459.7112 	 pixels	 597.6252 	 microns
39 	 398.4848 	 pixels	 518.0308 	 microns
40 	 355.0846 	 pixels	 461.6104 	 microns
41 	 367.0365 	 pixels	 477.148 	 microns
42 	 341.9993 	 pixels	 444.5995 	 microns
43 	 536.1781 	 pixels	 697.0323 	 microns
44 	 498.0533 	 pixels	 647.47 	 microns
45 	 481.3614 	 pixels	 625.7705 	 microns
46 	 457.9919 	 pixels	 595.3901 	 microns
47 	 337.7929 	 pixels	 439.1312 	 microns
48 	 512.4919 	 pixels	 666.2402 	 microns
49 	 463.2333 	 pixels	 602.2039 	 microns
50 	 384.78 	 pixels	 500.2145 	 microns
51 	 371.6947 	 pixels	 483.2035 	 microns
52 	 132.6954 	 pixels	 172.5042 	 microns
53 	 452.3333 	 pixels	 588.0339 	 microns
54 	 401.1223 	 pixels	 521.4596 	 microns
55 	 449.7971 	 pixels	 584.7368 	 microns
56 	 253.3474 	 pixels	 329.352 	 microns
57 	 395.7802 	 pixels	 514.5148 	 microns
58 	 355.1517 	 pixels	 461.6977 	 microns
59 	 156.5154 	 pixels	 203.4702 	 microns
60 	 509.8212 	 pixels	 662.7682 	 microns
61 	 347.6067 	 pixels	 451.8891 	 microns
62 	 293.0743 	 pixels	 380.997 	 microns
63 	 450.7977 	 pixels	 586.0376 	 microns
64 	 486.9536 	 pixels	 633.0404 	 microns
65 	 412.9397 	 pixels	 536.8222 	 microns
66 	 366.4696 	 pixels	 476.4109 	 microns
67 	 107.7397 	 pixels	 140.0618 	 microns
68 	 356.1364 	 pixels	 462.9778 	 microns
69 	 390.9065 	 pixels	 508.179 	 microns
70 	 296.3115 	 pixels	 385.2054 	 microns
71 	 270.9894 	 pixels	 352.2866 	 microns
72 	 191.7021 	 pixels	 249.213 	 microns
73 	 485.2002 	 pixels	 630.7609 	 microns
74 	 238.9909 	 pixels	 310.6885 	 microns
75 	 486.5364 	 pixels	 632.498 	 microns
76 	 425.0416 	 pixels	 552.5546 	 microns
77 	 127.088 	 pixels	 165.2146 	 microns
78 	 363.5488 	 pixels	 472.6139 	 microns
79 	 399.703 	 pixels	 519.6144 	 microns
80 	 535.1769 	 pixels	 695.7307 	 microns
81 	 516.8157 	 pixels	 671.861 	 microns
82 	 345.7205 	 pixels	 449.4371 	 microns
83 	 256.9532 	 pixels	 334.0394 	 microns
84 	 450.2802 	 pixels	 585.3648 	 microns
85 	 471.6968 	 pixels	 613.2065 	 microns
86 	 433.0204 	 pixels	 562.9271 	 microns
87 	 239.6418 	 pixels	 311.5346 	 microns
88 	 527.8488 	 pixels	 686.2041 	 microns
89 	 505.5821 	 pixels	 657.2574 	 microns
90 	 447.4259 	 pixels	 581.6543 	 microns
91 	 375.9172 	 pixels	 488.6929 	 microns
92 	 358.6234 	 pixels	 466.2109 	 microns
93 	 314.3895 	 pixels	 408.7068 	 microns
94 	 485.7516 	 pixels	 631.4777 	 microns
95 	 354.7016 	 pixels	 461.1126 	 microns
96 	 535.795 	 pixels	 696.5341 	 microns
97 	 396.4154 	 pixels	 515.3406 	 microns
98 	 266.2166 	 pixels	 346.0819 	 microns
99 	 330.1966 	 pixels	 429.256 	 microns
100 	 460.805 	 pixels	 599.0471 	 microns
101 	 351.8464 	 pixels	 457.4008 	 microns
102 	 436.1252 	 pixels	 566.9634 	 microns
103 	 475.3351 	 pixels	 617.9363 	 microns
104 	 499.4894 	 pixels	 649.3368 	 microns
105 	 334.2361 	 pixels	 434.5073 	 microns
106 	 523.4087 	 pixels	 680.4319 	 microns
107 	 488.6223 	 pixels	 635.2096 	 microns
108 	 432.9709 	 pixels	 562.8628 	 microns
109 	 367.5883 	 pixels	 477.8652 	 microns
110 	 501.0912 	 pixels	 651.4192 	 microns
111 	 514.9628 	 pixels	 669.4523 	 microns
112 	 484.0656 	 pixels	 629.2859 	 microns
113 	 528.8512 	 pixels	 687.5072 	 microns
114 	 409.2014 	 pixels	 531.9623 	 microns
115 	 341.3143 	 pixels	 443.7091 	 microns
116 	 447.5427 	 pixels	 581.8061 	 microns
117 	 432.5197 	 pixels	 562.2761 	 microns
118 	 383.8289 	 pixels	 498.9781 	 microns
119 	 511.2067 	 pixels	 664.5693 	 microns
120 	 379.3392 	 pixels	 493.1415 	 microns
121 	 355.403 	 pixels	 462.0244 	 microns
122 	 549.8491 	 pixels	 714.8046 	 microns
123 	 531.2039 	 pixels	 690.5658 	 microns
124 	 693.669 	 pixels	 901.7706 	 microns
125 	 492.7957 	 pixels	 640.635 	 microns
126 	 471.6462 	 pixels	 613.1406 	 microns
127 	 446.3078 	 pixels	 580.2007 	 microns
128 	 462.1486 	 pixels	 600.7938 	 microns
129 	 380.9079 	 pixels	 495.1808 	 microns
130 	 513.0431 	 pixels	 666.9566 	 microns
131 	 585.37 	 pixels	 760.9818 	 microns
132 	 478.5067 	 pixels	 622.0593 	 microns
133 	 456.2228 	 pixels	 593.0902 	 microns
134 	 632.5755 	 pixels	 822.349 	 microns
135 	 589.7107 	 pixels	 766.6246 	 microns
136 	 480.927 	 pixels	 625.2057 	 microns
137 	 540.4519 	 pixels	 702.5882 	 microns
138 	 700.9635 	 pixels	 911.2534 	 microns
139 	 475.6022 	 pixels	 618.2834 	 microns
140 	 506.7173 	 pixels	 658.7332 	 microns
141 	 489.9913 	 pixels	 636.9894 	 microns
142 	 696.6902 	 pixels	 905.6982 	 microns
143 	 553.9389 	 pixels	 720.1213 	 microns
144 	 520.2712 	 pixels	 676.3532 	 microns
145 	 538.8489 	 pixels	 700.5043 	 microns
146 	 567.4931 	 pixels	 737.7418 	 microns
147 	 689.5964 	 pixels	 896.4762 	 microns
148 	 706.9728 	 pixels	 919.0656 	 microns
