selection#  	  units 	 distance 	 units
2 	 145.5622 	 pixels	 189.2311 	 microns
3 	 98.4839 	 pixels	 128.0292 	 microns
4 	 133.6931 	 pixels	 173.8012 	 microns
5 	 148.7908 	 pixels	 193.4283 	 microns
6 	 117.9691 	 pixels	 153.36 	 microns
7 	 144.8939 	 pixels	 188.3623 	 microns
8 	 159.6117 	 pixels	 207.4955 	 microns
9 	 107.1339 	 pixels	 139.2742 	 microns
10 	 241.278 	 pixels	 313.6617 	 microns
11 	 153.7469 	 pixels	 199.8711 	 microns
12 	 232.2989 	 pixels	 301.9889 	 microns
13 	 249.7032 	 pixels	 324.6145 	 microns
14 	 162.5945 	 pixels	 211.3731 	 microns
15 	 96.4073 	 pixels	 125.3297 	 microns
16 	 118.8281 	 pixels	 154.4767 	 microns
17 	 144.2518 	 pixels	 187.5275 	 microns
18 	 92.6229 	 pixels	 120.4099 	 microns
19 	 242.1808 	 pixels	 314.8354 	 microns
20 	 70.7444 	 pixels	 91.9677 	 microns
21 	 134.8468 	 pixels	 175.301 	 microns
22 	 63.8416 	 pixels	 82.9941 	 microns
23 	 267.1785 	 pixels	 347.3324 	 microns
24 	 76.4795 	 pixels	 99.4234 	 microns
25 	 216.6694 	 pixels	 281.6705 	 microns
26 	 103.019 	 pixels	 133.9249 	 microns
27 	 378.5914 	 pixels	 492.1694 	 microns
28 	 137.1123 	 pixels	 178.2461 	 microns
29 	 391.2251 	 pixels	 508.5931 	 microns
30 	 117.5375 	 pixels	 152.7989 	 microns
31 	 94.9597 	 pixels	 123.4477 	 microns
32 	 82.4392 	 pixels	 107.171 	 microns
33 	 210.8034 	 pixels	 274.0447 	 microns
34 	 132.0977 	 pixels	 171.7272 	 microns
35 	 398.5745 	 pixels	 518.1473 	 microns
36 	 342.5553 	 pixels	 445.3223 	 microns
37 	 69.985 	 pixels	 90.9806 	 microns
38 	 321.6349 	 pixels	 418.1258 	 microns
39 	 198.6208 	 pixels	 258.2073 	 microns
40 	 112.9009 	 pixels	 146.7714 	 microns
41 	 174.8118 	 pixels	 227.2555 	 microns
42 	 369.6358 	 pixels	 480.527 	 microns
43 	 224.2017 	 pixels	 291.4625 	 microns
44 	 143.5654 	 pixels	 186.6352 	 microns
45 	 465.5258 	 pixels	 605.1841 	 microns
46 	 352.8382 	 pixels	 458.6902 	 microns
47 	 337.2707 	 pixels	 438.4523 	 microns
48 	 443.4858 	 pixels	 576.5321 	 microns
49 	 119.9811 	 pixels	 155.9755 	 microns
50 	 135.6631 	 pixels	 176.3622 	 microns
51 	 349.0544 	 pixels	 453.7711 	 microns
52 	 198.8039 	 pixels	 258.4454 	 microns
53 	 68.6261 	 pixels	 89.2141 	 microns
54 	 366.079 	 pixels	 475.9031 	 microns
55 	 239.9057 	 pixels	 311.8777 	 microns
56 	 265.2164 	 pixels	 344.7817 	 microns
57 	 521.683 	 pixels	 678.1885 	 microns
58 	 456.4582 	 pixels	 593.3962 	 microns
59 	 303.8557 	 pixels	 395.0128 	 microns
60 	 507.8864 	 pixels	 660.253 	 microns
61 	 479.5299 	 pixels	 623.3895 	 microns
62 	 492.3206 	 pixels	 640.0174 	 microns
63 	 188.3489 	 pixels	 244.8538 	 microns
