selection#  	  units 	 distance 	 units
2 	 522.7685 	 pixels	 679.599 	 microns
3 	 482.3236 	 pixels	 627.0207 	 microns
4 	 618.1468 	 pixels	 803.5909 	 microns
5 	 167.8189 	 pixels	 218.1645 	 microns
6 	 754.5732 	 pixels	 980.9452 	 microns
7 	 127.3722 	 pixels	 165.5838 	 microns
8 	 348.9146 	 pixels	 453.589 	 microns
9 	 390.5674 	 pixels	 507.7376 	 microns
10 	 310.2809 	 pixels	 403.3652 	 microns
11 	 113.4882 	 pixels	 147.5347 	 microns
12 	 464.214 	 pixels	 603.4782 	 microns
13 	 356.7628 	 pixels	 463.7917 	 microns
14 	 133.4102 	 pixels	 173.4333 	 microns
15 	 221.5433 	 pixels	 288.0063 	 microns
16 	 385.7383 	 pixels	 501.4598 	 microns
17 	 351.9329 	 pixels	 457.5128 	 microns
18 	 332.0122 	 pixels	 431.6159 	 microns
19 	 417.1285 	 pixels	 542.267 	 microns
20 	 372.4576 	 pixels	 484.1948 	 microns
21 	 431.0123 	 pixels	 560.3159 	 microns
22 	 127.9781 	 pixels	 166.3716 	 microns
23 	 655.5734 	 pixels	 852.2455 	 microns
24 	 456.3662 	 pixels	 593.2761 	 microns
25 	 226.3733 	 pixels	 294.2853 	 microns
26 	 484.1351 	 pixels	 629.3757 	 microns
27 	 470.8538 	 pixels	 612.11 	 microns
28 	 211.2812 	 pixels	 274.6656 	 microns
29 	 441.2746 	 pixels	 573.657 	 microns
30 	 504.6586 	 pixels	 656.0562 	 microns
31 	 317.5246 	 pixels	 412.7819 	 microns
32 	 286.1343 	 pixels	 371.9746 	 microns
33 	 160.5734 	 pixels	 208.7454 	 microns
34 	 224.562 	 pixels	 291.9307 	 microns
35 	 537.2566 	 pixels	 698.4335 	 microns
36 	 195.5874 	 pixels	 254.2637 	 microns
37 	 676.7014 	 pixels	 879.7118 	 microns
38 	 357.9698 	 pixels	 465.3608 	 microns
39 	 144.8781 	 pixels	 188.3415 	 microns
40 	 709.2988 	 pixels	 922.0884 	 microns
41 	 127.9773 	 pixels	 166.3705 	 microns
42 	 434.635 	 pixels	 565.0255 	 microns
43 	 592.1892 	 pixels	 769.8459 	 microns
44 	 335.6347 	 pixels	 436.3252 	 microns
45 	 372.4574 	 pixels	 484.1946 	 microns
46 	 350.7257 	 pixels	 455.9434 	 microns
47 	 540.8782 	 pixels	 703.1416 	 microns
48 	 300.0186 	 pixels	 390.0242 	 microns
49 	 435.2379 	 pixels	 565.8092 	 microns
50 	 418.9398 	 pixels	 544.6217 	 microns
51 	 147.2928 	 pixels	 191.4806 	 microns
52 	 401.4334 	 pixels	 521.8634 	 microns
53 	 290.9635 	 pixels	 378.2525 	 microns
54 	 192.5687 	 pixels	 250.3393 	 microns
55 	 128.5794 	 pixels	 167.1532 	 microns
56 	 214.9029 	 pixels	 279.3737 	 microns
57 	 160.5736 	 pixels	 208.7457 	 microns
58 	 271.6465 	 pixels	 353.1404 	 microns
59 	 255.3482 	 pixels	 331.9527 	 microns
60 	 378.4945 	 pixels	 492.0428 	 microns
61 	 226.3729 	 pixels	 294.2847 	 microns
62 	 443.0855 	 pixels	 576.0111 	 microns
63 	 123.1495 	 pixels	 160.0943 	 microns
64 	 545.7073 	 pixels	 709.4195 	 microns
65 	 493.7927 	 pixels	 641.9305 	 microns
66 	 147.2927 	 pixels	 191.4805 	 microns
67 	 303.6407 	 pixels	 394.7329 	 microns
68 	 354.3487 	 pixels	 460.6533 	 microns
69 	 260.1773 	 pixels	 338.2305 	 microns
70 	 381.5128 	 pixels	 495.9666 	 microns
71 	 206.4523 	 pixels	 268.388 	 microns
72 	 397.2077 	 pixels	 516.37 	 microns
73 	 341.0682 	 pixels	 443.3886 	 microns
74 	 433.4279 	 pixels	 563.4563 	 microns
75 	 131.598 	 pixels	 171.0775 	 microns
76 	 455.7624 	 pixels	 592.4912 	 microns
77 	 217.922 	 pixels	 283.2986 	 microns
78 	 272.25 	 pixels	 353.925 	 microns
79 	 351.933 	 pixels	 457.5129 	 microns
80 	 362.1965 	 pixels	 470.8554 	 microns
81 	 289.7578 	 pixels	 376.6851 	 microns
82 	 413.5069 	 pixels	 537.5589 	 microns
83 	 202.8293 	 pixels	 263.6781 	 microns
84 	 387.5493 	 pixels	 503.8141 	 microns
85 	 140.6538 	 pixels	 182.8499 	 microns
86 	 161.7811 	 pixels	 210.3154 	 microns
87 	 180.4943 	 pixels	 234.6426 	 microns
