selection#  	  units 	 distance 	 units
2 	 414.0427 	 pixels	 538.2561 	 microns
3 	 182.3618 	 pixels	 237.0706 	 microns
4 	 506.5847 	 pixels	 658.5608 	 microns
5 	 248.5346 	 pixels	 323.0953 	 microns
6 	 229.7356 	 pixels	 298.6566 	 microns
7 	 416.8764 	 pixels	 541.9398 	 microns
8 	 273.318 	 pixels	 355.3137 	 microns
9 	 210.4452 	 pixels	 273.579 	 microns
10 	 367.991 	 pixels	 478.3888 	 microns
11 	 249.727 	 pixels	 324.6455 	 microns
12 	 442.8232 	 pixels	 575.6707 	 microns
13 	 225.0749 	 pixels	 292.5977 	 microns
14 	 414.8837 	 pixels	 539.3494 	 microns
15 	 358.4298 	 pixels	 465.9592 	 microns
16 	 199.3133 	 pixels	 259.1076 	 microns
17 	 271.3879 	 pixels	 352.8046 	 microns
18 	 234.2893 	 pixels	 304.5765 	 microns
19 	 322.4726 	 pixels	 419.2148 	 microns
20 	 534.3491 	 pixels	 694.6546 	 microns
21 	 250.4889 	 pixels	 325.6358 	 microns
22 	 324.7219 	 pixels	 422.1389 	 microns
23 	 427.4263 	 pixels	 555.6547 	 microns
24 	 281.1943 	 pixels	 365.553 	 microns
25 	 405.4197 	 pixels	 527.0461 	 microns
26 	 209.7575 	 pixels	 272.6851 	 microns
27 	 322.6782 	 pixels	 419.482 	 microns
28 	 428.0851 	 pixels	 556.5112 	 microns
29 	 267.8666 	 pixels	 348.2269 	 microns
30 	 230.7826 	 pixels	 300.0177 	 microns
31 	 386.1854 	 pixels	 502.0416 	 microns
32 	 567.9351 	 pixels	 738.3164 	 microns
33 	 460.9475 	 pixels	 599.2324 	 microns
34 	 302.3398 	 pixels	 393.0422 	 microns
35 	 338.3673 	 pixels	 439.8779 	 microns
36 	 362.5754 	 pixels	 471.3484 	 microns
37 	 208.2744 	 pixels	 270.7569 	 microns
38 	 239.4867 	 pixels	 311.333 	 microns
39 	 271.2398 	 pixels	 352.6122 	 microns
40 	 617.529 	 pixels	 802.7886 	 microns
41 	 244.9522 	 pixels	 318.4382 	 microns
42 	 224.5223 	 pixels	 291.8793 	 microns
43 	 301.4141 	 pixels	 391.8387 	 microns
44 	 260.114 	 pixels	 338.1485 	 microns
45 	 328.4184 	 pixels	 426.9443 	 microns
46 	 387.5868 	 pixels	 503.8634 	 microns
47 	 372.0054 	 pixels	 483.6075 	 microns
48 	 609.674 	 pixels	 792.577 	 microns
49 	 266.1197 	 pixels	 345.9559 	 microns
50 	 311.2919 	 pixels	 404.6798 	 microns
51 	 229.5735 	 pixels	 298.4458 	 microns
52 	 538.1993 	 pixels	 699.6598 	 microns
53 	 490.895 	 pixels	 638.1641 	 microns
54 	 252.7212 	 pixels	 328.5379 	 microns
55 	 294.152 	 pixels	 382.398 	 microns
56 	 329.6514 	 pixels	 428.5473 	 microns
57 	 381.3218 	 pixels	 495.7188 	 microns
58 	 196.3718 	 pixels	 255.2836 	 microns
59 	 401.767 	 pixels	 522.2976 	 microns
60 	 231.3408 	 pixels	 300.7433 	 microns
61 	 567.3774 	 pixels	 737.5913 	 microns
62 	 524.4162 	 pixels	 681.7417 	 microns
63 	 391.1297 	 pixels	 508.4692 	 microns
64 	 263.169 	 pixels	 342.1201 	 microns
65 	 218.5809 	 pixels	 284.1554 	 microns
66 	 615.9242 	 pixels	 800.7022 	 microns
67 	 348.1828 	 pixels	 452.638 	 microns
68 	 294.423 	 pixels	 382.7503 	 microns
69 	 531.0076 	 pixels	 690.3106 	 microns
70 	 331.5993 	 pixels	 431.0796 	 microns
71 	 262.2433 	 pixels	 340.9167 	 microns
72 	 467.6344 	 pixels	 607.9253 	 microns
73 	 404.7484 	 pixels	 526.1735 	 microns
